Scenario_Seed,Cumulative_Delay
"(4, 2)",136.6623252467381
"(4, 3)",11.593999397622811
"(4, 5)",17.31183716779424
"(4, 6)",53.68431940938393
"(4, 7)",154.49869282936146
"(4, 9)",52.57925890915504
