road,model_type,name,lat,lon
N511,sourcesink,SoSi118,23.8976108,90.3313327
N513,sourcesink,SoSi119,23.8942774,89.6485274
N513,sourcesink,SoSi120,23.8146944,89.7128333
N514,sourcesink,SoSi121,24.8158333,89.3797216
N514,sourcesink,SoSi122,24.8891663,89.36027779999999
N515,sourcesink,SoSi123,24.8057778,89.3836941
N515,sourcesink,SoSi124,24.8888052,89.36025
N516,sourcesink,SoSi125,24.838833,88.9114167
N516,sourcesink,SoSi126,24.8146111,88.98099930000001
N517,sourcesink,SoSi127,25.7095833,89.2610278
N517,sourcesink,SoSi128,25.7647778,89.2315827
N518,sourcesink,SoSi129,25.7808882,88.9160833
N518,sourcesink,SoSi130,25.773249300000003,88.8760827
N519,sourcesink,SoSi131,24.8283049,89.35416670000001
N519,sourcesink,SoSi132,24.8337774,89.3584444
N520,sourcesink,SoSi133,24.3049167,89.56522220000001
N520,sourcesink,SoSi134,24.3246104,89.56277779999999
N540,sourcesink,SoSi135,23.9135,90.2585
N540,sourcesink,SoSi136,24.0475552,90.2388886
N6,sourcesink,SoSi137,23.9578056,89.6068889
N6,sourcesink,SoSi138,24.3731382,88.5636944
N602,sourcesink,SoSi139,24.410583300000003,89.0080278
N602,sourcesink,SoSi140,24.4065833,89.9568056
N603,sourcesink,SoSi141,24.3663889,88.7263882
N603,sourcesink,SoSi142,24.3832216,88.5454163
N604,sourcesink,SoSi143,24.0073889,89.25872220000001
N604,sourcesink,SoSi144,24.0322493,89.2258882
N605,sourcesink,SoSi145,24.3684438,88.5811104
N605,sourcesink,SoSi146,24.3745549,88.6040556
N7,sourcesink,SoSi147,23.7689716,89.7870552
N7,sourcesink,SoSi148,22.5293327,89.5894441
N701,sourcesink,SoSi149,23.7689716,89.7870552
N701,sourcesink,SoSi150,23.7651389,89.78055490000001
N702,sourcesink,SoSi151,23.166583300000003,89.2095
N702,sourcesink,SoSi152,23.4856663,89.41897159999999
N703,sourcesink,SoSi153,23.5425274,89.1906108
N703,sourcesink,SoSi154,23.5324716,89.170916
N704,sourcesink,SoSi155,23.5456941,89.1728604
N704,sourcesink,SoSi156,24.1121389,89.12172159999999
N705,sourcesink,SoSi157,24.0753604,89.0661667
N705,sourcesink,SoSi158,24.1299993,89.1186938
N706,sourcesink,SoSi159,23.1665278,89.20952779999999
N706,sourcesink,SoSi160,23.0389441,88.88416629999999
N707,sourcesink,SoSi161,23.179666,89.194583
N707,sourcesink,SoSi162,22.1439163,89.2365552
N708,sourcesink,SoSi163,23.1811382,89.1911108
N708,sourcesink,SoSi164,23.161,89.22263819999999
N709,sourcesink,SoSi165,22.935583,89.4879719
N709,sourcesink,SoSi166,22.7745827,89.6171104
N710,sourcesink,SoSi167,22.8179993,89.5595833
N710,sourcesink,SoSi168,22.8163889,89.5628056
N711,sourcesink,SoSi169,23.0399163,88.8886663
N711,sourcesink,SoSi170,23.0476941,88.9162222
N712,sourcesink,SoSi171,23.5427774,89.1904997
N712,sourcesink,SoSi172,23.5230549,89.16961040000001
N713,sourcesink,SoSi173,,
N715,sourcesink,SoSi174,22.6887219,89.0328882
N715,sourcesink,SoSi175,22.669416,88.9468608
N8,sourcesink,SoSi176,23.7021389,90.4353608
N8,sourcesink,SoSi177,22.3597222,90.3186104
N801,sourcesink,SoSi178,22.657,90.3617222
N801,sourcesink,SoSi179,22.6888052,90.390333
N802,sourcesink,SoSi180,23.7129167,90.4036389
N802,sourcesink,SoSi181,23.674999300000003,90.4052222
N803,sourcesink,SoSi182,23.6001111,89.8273882
N803,sourcesink,SoSi183,23.6322771,89.8548333
N804,sourcesink,SoSi184,23.3903608,89.9838886
N804,sourcesink,SoSi185,23.5883052,89.8086111
N805,sourcesink,SoSi186,23.3902219,89.9837497
N805,sourcesink,SoSi187,22.7409163,89.6349441
N806,sourcesink,SoSi188,23.2135833,89.7100556
N806,sourcesink,SoSi189,23.1609722,89.222666
N808,sourcesink,SoSi190,23.5889163,89.8094167
N808,sourcesink,SoSi191,23.5677771,89.8514444
N809,sourcesink,SoSi192,22.685583,90.3568056
N809,sourcesink,SoSi193,22.946333,90.8137222
R110,sourcesink,SoSi194,23.7103056,90.4342497
R110,sourcesink,SoSi195,23.6238327,90.5000556
R111,sourcesink,SoSi196,23.6936663,90.4808327
R111,sourcesink,SoSi197,23.6239438,90.4998052
R112,sourcesink,SoSi198,23.7197216,90.4905274
R112,sourcesink,SoSi199,23.7639444,90.4308327
R113,sourcesink,SoSi200,23.6904441,90.5466108
R113,sourcesink,SoSi201,23.592388600000003,90.51025
R114,sourcesink,SoSi202,23.731471600000003,90.5878608
R114,sourcesink,SoSi203,23.9942774,90.8717771
R120,sourcesink,SoSi204,23.8778327,91.2079167
R120,sourcesink,SoSi205,23.8612222,91.2183882
R140,sourcesink,SoSi206,23.4604722,91.18072159999998
R140,sourcesink,SoSi207,22.9447774,91.1047222
R141,sourcesink,SoSi208,23.3565,91.1468052
R141,sourcesink,SoSi209,23.0357219,91.0964719
R142,sourcesink,SoSi210,22.944694100000003,91.1046944
R142,sourcesink,SoSi211,23.0992774,90.8609444
R143,sourcesink,SoSi212,22.883333,91.0971386
R143,sourcesink,SoSi213,22.941388600000003,90.9805827
R144,sourcesink,SoSi214,23.25,91.1203604
R144,sourcesink,SoSi215,23.2248882,91.1239438
R145,sourcesink,SoSi216,22.9443052,90.8282216
R145,sourcesink,SoSi217,22.9326938,90.8332771
R146,sourcesink,SoSi218,,
R147,sourcesink,SoSi219,22.9369997,90.8291382
R147,sourcesink,SoSi220,22.9325549,90.8106667
R151,sourcesink,SoSi221,22.8940552,91.5346941
R151,sourcesink,SoSi222,22.7082222,91.784083
R152,sourcesink,SoSi223,22.8924997,91.6744993
R152,sourcesink,SoSi224,22.9460552,91.86225
R160,sourcesink,SoSi225,22.498583,91.8070833
R160,sourcesink,SoSi226,23.1239438,91.9792493
R161,sourcesink,SoSi227,22.6087778,92.0964719
R161,sourcesink,SoSi228,22.1959719,92.1962497
R162,sourcesink,SoSi229,22.648833,92.1379719
R162,sourcesink,SoSi230,23.094638600000003,91.9725549
R163,sourcesink,SoSi231,22.394388600000003,91.868416
R163,sourcesink,SoSi232,22.4695827,92.1290549
R164,sourcesink,SoSi233,22.5027222,92.1391663
R164,sourcesink,SoSi234,22.4976663,92.2170271
R170,sourcesink,SoSi235,22.291833,91.9823327
R170,sourcesink,SoSi236,21.7521667,92.0078333
R171,sourcesink,SoSi237,22.0020278,91.9518333
R171,sourcesink,SoSi238,21.9721382,92.0656944
R172,sourcesink,SoSi239,21.7596389,92.0764716
R172,sourcesink,SoSi240,21.7158889,91.9448608
R180,sourcesink,SoSi241,21.427249300000003,92.0061389
R180,sourcesink,SoSi242,21.4303327,91.9747216
R201,sourcesink,SoSi243,23.7249993,90.5135278
R201,sourcesink,SoSi244,23.720416,90.4932497
R202,sourcesink,SoSi245,23.7849163,90.5650833
R202,sourcesink,SoSi246,23.7728049,90.4830549
R203,sourcesink,SoSi247,23.7856108,90.5705549
R203,sourcesink,SoSi248,23.9033056,90.1265827
R210,sourcesink,SoSi249,23.9098056,90.6879163
R210,sourcesink,SoSi250,23.9313049,90.7245271
R211,sourcesink,SoSi251,23.980166,90.7334719
R211,sourcesink,SoSi252,24.2523333,90.7966941
R212,sourcesink,SoSi253,24.0808882,90.7333608
R212,sourcesink,SoSi254,24.1842497,90.8757216
R220,sourcesink,SoSi255,24.0576389,91.1150556
R220,sourcesink,SoSi256,24.373166,91.4161389
R221,sourcesink,SoSi257,24.3932497,91.4082778
R221,sourcesink,SoSi258,24.2822493,91.422166
R222,sourcesink,SoSi259,24.2728327,91.4731382
R222,sourcesink,SoSi260,24.2757771,91.4812771
R240,sourcesink,SoSi261,24.2676104,91.4768882
R240,sourcesink,SoSi262,24.5938052,91.6104722
R241,sourcesink,SoSi263,24.6134167,91.6312493
R241,sourcesink,SoSi264,24.9233604,91.4625833
R247,sourcesink,SoSi265,24.9064444,91.8803049
R247,sourcesink,SoSi266,24.8995552,91.8791382
R248,sourcesink,SoSi267,24.9051111,91.8700271
R248,sourcesink,SoSi268,24.896333,91.9002778
R249,sourcesink,SoSi269,24.8994719,91.8687493
R249,sourcesink,SoSi270,24.8994997,91.8789438
R250,sourcesink,SoSi271,24.8859997,91.8681382
R250,sourcesink,SoSi272,24.8731382,92.3650278
R251,sourcesink,SoSi273,24.8574722,92.0137778
R251,sourcesink,SoSi274,24.7571667,92.0192771
R280,sourcesink,SoSi275,24.9050556,91.8698882
R280,sourcesink,SoSi276,25.0725271,91.399083
R281,sourcesink,SoSi277,24.5179438,91.8600556
R281,sourcesink,SoSi278,24.9023333,92.1479441
R282,sourcesink,SoSi279,24.5973052,92.1140556
R282,sourcesink,SoSi280,24.531166,92.2307216
R283,sourcesink,SoSi281,24.8607778,91.8461663
R283,sourcesink,SoSi282,24.9129167,91.824666
R301,sourcesink,SoSi283,23.8927774,90.4020278
R301,sourcesink,SoSi284,23.8935552,90.6645833
R302,sourcesink,SoSi285,23.9258049,90.5575278
R302,sourcesink,SoSi286,23.9413608,90.6155
R303,sourcesink,SoSi287,23.8943052,90.4008333
R303,sourcesink,SoSi288,23.891333,90.3886386
R310,sourcesink,SoSi289,23.9894997,90.381916
R310,sourcesink,SoSi290,23.9802493,90.7332771
R311,sourcesink,SoSi291,23.9968886,90.4171382
R311,sourcesink,SoSi292,23.032916,90.4161944
R312,sourcesink,SoSi293,24.095583,90.4018611
R312,sourcesink,SoSi294,24.2497219,90.7012778
R313,sourcesink,SoSi295,24.2205549,90.4125
R313,sourcesink,SoSi296,24.1172493,90.7015833
R314,sourcesink,SoSi297,24.2262216,90.4096944
R314,sourcesink,SoSi298,24.4519167,90.5549722
R315,sourcesink,SoSi299,24.2206382,90.4122778
R315,sourcesink,SoSi300,23.908,90.2122778
R316,sourcesink,SoSi301,24.1143333,90.5609722
R316,sourcesink,SoSi302,24.1143333,90.5609722
R317,sourcesink,SoSi303,24.261,90.6422219
R317,sourcesink,SoSi304,24.2661389,90.6358608
R360,sourcesink,SoSi305,24.7625278,90.4504444
R360,sourcesink,SoSi306,24.05525,90.9830271
R364,sourcesink,SoSi307,24.4688327,90.7711382
R364,sourcesink,SoSi308,24.439833,90.7771104
R370,sourcesink,SoSi309,24.7636944,90.40625
R370,sourcesink,SoSi310,25.039944100000003,91.3874997
R371,sourcesink,SoSi311,24.7652222,90.4516389
R371,sourcesink,SoSi312,25.0324716,90.0153056
R372,sourcesink,SoSi313,24.7611111,90.437083
R372,sourcesink,SoSi314,24.7596667,90.4202493
R450,sourcesink,SoSi315,24.392694100000003,89.70638890000001
R450,sourcesink,SoSi316,24.4491663,89.71961040000001
R451,sourcesink,SoSi317,24.422916,89.5963886
R451,sourcesink,SoSi318,24.4581389,89.71808270000001
R460,sourcesink,SoSi319,24.9075556,89.95013890000001
R460,sourcesink,SoSi320,25.1213882,90.0846663
R480,sourcesink,SoSi321,24.3348052,89.9248604
R480,sourcesink,SoSi322,24.4510833,89.82427709999999
R504,sourcesink,SoSi323,23.7931386,90.2713882
R504,sourcesink,SoSi324,23.870721600000003,89.9986663
R506,sourcesink,SoSi325,23.8517222,89.8720271
R506,sourcesink,SoSi326,24.2516389,89.91972159999999
R543,sourcesink,SoSi327,24.9111111,88.75352779999999
R543,sourcesink,SoSi328,24.9178049,88.7409163
R544,sourcesink,SoSi329,24.8065,88.97799930000001
R544,sourcesink,SoSi330,24.6136111,88.97447159999999
R545,sourcesink,SoSi331,24.8545,89.3675827
R545,sourcesink,SoSi332,25.1025556,89.02680490000002
R546,sourcesink,SoSi333,24.8065278,88.9780827
R546,sourcesink,SoSi334,24.8150833,89.0105833
R547,sourcesink,SoSi335,24.8329716,88.9218882
