Unique_ID,Time_In_Model,Seed
Truck0,14,1
Truck1,14,1
Truck2,14,1
Truck3,14,1
Truck4,14,1
Truck5,14,1
Truck6,14,1
Truck7,14,1
Truck8,14,1
Truck9,14,1
Truck10,14,1
Truck11,14,1
Truck12,14,1
Truck13,14,1
Truck14,14,1
Truck15,14,1
Truck16,14,1
Truck17,14,1
Truck18,14,1
Truck19,14,1
Truck20,14,1
Truck21,14,1
Truck22,14,1
Truck23,14,1
Truck24,14,1
Truck25,14,1
Truck26,14,1
Truck27,14,1
Truck28,14,1
Truck29,14,1
Truck30,14,1
Truck31,14,1
Truck32,14,1
Truck33,14,1
Truck34,14,1
Truck35,14,1
Truck36,14,1
Truck37,14,1
Truck38,14,1
Truck39,14,1
Truck40,14,1
Truck41,14,1
Truck42,14,1
Truck43,14,1
Truck44,14,1
Truck45,14,1
Truck46,14,1
Truck47,14,1
Truck48,14,1
Truck49,14,1
Truck50,14,1
Truck51,14,1
Truck52,14,1
Truck53,14,1
Truck54,14,1
Truck55,14,1
Truck56,14,1
Truck57,14,1
Truck58,14,1
Truck59,14,1
Truck60,14,1
Truck61,14,1
Truck62,14,1
Truck63,14,1
Truck64,14,1
Truck65,14,1
Truck66,14,1
Truck67,14,1
Truck68,14,1
Truck69,14,1
Truck70,14,1
Truck71,14,1
Truck72,14,1
Truck73,14,1
Truck74,14,1
Truck75,14,1
Truck76,14,1
Truck77,14,1
Truck78,14,1
Truck79,14,1
Truck80,14,1
Truck81,14,1
Truck82,14,1
Truck83,14,1
Truck84,14,1
Truck85,14,1
Truck86,14,1
Truck87,14,1
Truck88,14,1
Truck89,14,1
Truck90,14,1
Truck91,14,1
Truck92,14,1
Truck93,14,1
Truck94,14,1
Truck95,14,1
Truck96,14,1
Truck97,14,1
Truck98,14,1
Truck99,14,1
Truck100,14,1
Truck101,14,1
Truck102,14,1
Truck103,14,1
Truck104,14,1
Truck105,14,1
Truck106,14,1
Truck107,14,1
Truck108,14,1
Truck109,14,1
Truck110,14,1
Truck111,14,1
Truck112,14,1
Truck113,14,1
Truck114,14,1
Truck115,14,1
Truck116,14,1
Truck117,14,1
Truck118,14,1
Truck119,14,1
Truck120,14,1
Truck121,14,1
Truck122,14,1
Truck123,14,1
Truck124,14,1
Truck125,14,1
Truck126,14,1
Truck127,14,1
Truck128,14,1
Truck129,14,1
Truck130,14,1
Truck131,14,1
Truck132,14,1
Truck133,14,1
Truck134,14,1
Truck135,14,1
Truck136,14,1
Truck137,14,1
Truck138,14,1
Truck139,14,1
Truck140,14,1
Truck141,14,1
Truck142,14,1
Truck143,14,1
Truck144,14,1
Truck145,14,1
Truck146,14,1
Truck147,14,1
Truck148,14,1
Truck149,14,1
Truck150,14,1
Truck151,14,1
Truck152,14,1
Truck153,14,1
Truck154,14,1
Truck155,14,1
Truck156,14,1
Truck157,14,1
Truck158,14,1
Truck159,14,1
Truck160,14,1
Truck161,14,1
Truck162,14,1
Truck163,14,1
Truck164,14,1
Truck165,14,1
Truck166,14,1
Truck167,14,1
Truck168,14,1
Truck169,14,1
Truck170,14,1
Truck171,14,1
Truck172,14,1
Truck173,14,1
Truck174,14,1
Truck175,14,1
Truck176,14,1
Truck177,14,1
Truck178,14,1
Truck179,14,1
Truck180,14,1
Truck181,14,1
Truck182,14,1
Truck183,14,1
Truck184,14,1
Truck185,14,1
Truck186,14,1
Truck187,14,1
Truck188,14,1
Truck189,14,1
Truck190,14,1
Truck191,14,1
Truck192,14,1
Truck193,14,1
Truck194,14,1
Truck195,14,1
Truck196,14,1
Truck197,14,1
Truck198,14,1
Truck199,14,1
Truck200,14,1
Truck201,14,1
Truck202,14,1
Truck203,14,1
Truck204,14,1
Truck205,14,1
Truck206,14,1
Truck207,14,1
Truck208,14,1
Truck209,14,1
Truck210,14,1
Truck211,14,1
Truck212,14,1
Truck213,14,1
Truck214,14,1
Truck215,14,1
Truck216,14,1
Truck217,14,1
Truck218,14,1
Truck219,14,1
Truck220,14,1
Truck221,14,1
Truck222,14,1
Truck223,14,1
Truck224,14,1
Truck225,14,1
Truck226,14,1
Truck227,14,1
Truck228,14,1
Truck229,14,1
Truck230,14,1
Truck231,14,1
Truck232,14,1
Truck233,14,1
Truck234,14,1
Truck235,14,1
Truck236,14,1
Truck237,14,1
Truck238,14,1
Truck239,14,1
Truck240,14,1
Truck241,14,1
Truck242,14,1
Truck243,14,1
Truck244,14,1
Truck245,14,1
Truck246,14,1
Truck247,14,1
Truck248,14,1
Truck249,14,1
Truck250,14,1
Truck251,14,1
