Unique_ID,Time_In_Model,Seed
Truck57600,14,1
Truck57601,14,1
Truck57602,14,1
Truck57603,14,1
Truck57604,14,1
Truck57605,14,1
Truck57606,14,1
Truck57607,14,1
Truck57608,14,1
Truck57609,14,1
Truck57610,14,1
Truck57611,14,1
Truck57612,14,1
Truck57613,14,1
Truck57614,14,1
Truck57615,14,1
Truck57616,14,1
Truck57617,14,1
Truck57618,14,1
Truck57619,14,1
Truck57620,14,1
Truck57621,14,1
Truck57622,14,1
Truck57623,14,1
Truck57624,14,1
Truck57625,14,1
Truck57626,14,1
Truck57627,14,1
Truck57628,14,1
Truck57629,14,1
Truck57630,14,1
Truck57631,14,1
Truck57632,14,1
Truck57633,14,1
Truck57634,14,1
Truck57635,14,1
Truck57636,14,1
Truck57637,14,1
Truck57638,14,1
Truck57639,14,1
Truck57640,14,1
Truck57641,14,1
Truck57642,14,1
Truck57643,14,1
Truck57644,14,1
Truck57645,14,1
Truck57646,14,1
Truck57647,14,1
Truck57648,14,1
Truck57649,14,1
Truck57650,14,1
Truck57651,14,1
Truck57652,14,1
Truck57653,14,1
Truck57654,14,1
Truck57655,14,1
Truck57656,14,1
Truck57657,14,1
Truck57658,14,1
Truck57659,14,1
Truck57660,14,1
Truck57661,14,1
Truck57662,14,1
Truck57663,14,1
Truck57664,14,1
Truck57665,14,1
Truck57666,14,1
Truck57667,14,1
Truck57668,14,1
Truck57669,14,1
Truck57670,14,1
Truck57671,14,1
Truck57672,14,1
Truck57673,14,1
Truck57674,14,1
Truck57675,14,1
Truck57676,14,1
Truck57677,14,1
Truck57678,14,1
Truck57679,14,1
Truck57680,14,1
Truck57681,14,1
Truck57682,14,1
Truck57683,14,1
Truck57684,14,1
Truck57685,14,1
Truck57686,14,1
Truck57687,14,1
Truck57688,14,1
Truck57689,14,1
Truck57690,14,1
Truck57691,14,1
Truck57692,14,1
Truck57693,14,1
Truck57694,14,1
Truck57695,14,1
Truck57696,14,1
Truck57697,14,1
Truck57698,14,1
Truck57699,14,1
Truck57700,14,1
Truck57701,14,1
Truck57702,14,1
Truck57703,14,1
Truck57704,14,1
Truck57705,14,1
Truck57706,14,1
Truck57707,14,1
Truck57708,14,1
Truck57709,14,1
Truck57710,14,1
Truck57711,14,1
Truck57712,14,1
Truck57713,14,1
Truck57714,14,1
Truck57715,14,1
Truck57716,14,1
Truck57717,14,1
Truck57718,14,1
Truck57719,14,1
Truck57720,14,1
Truck57721,14,1
Truck57722,14,1
Truck57723,14,1
Truck57724,14,1
Truck57725,14,1
Truck57726,14,1
Truck57727,14,1
Truck57728,14,1
Truck57729,14,1
Truck57730,14,1
Truck57731,14,1
Truck57732,14,1
Truck57733,14,1
Truck57734,14,1
Truck57735,14,1
Truck57736,14,1
Truck57737,14,1
Truck57738,14,1
Truck57739,14,1
Truck57740,14,1
Truck57741,14,1
Truck57742,14,1
Truck57743,14,1
Truck57744,14,1
Truck57745,14,1
Truck57746,14,1
Truck57747,14,1
Truck57748,14,1
Truck57749,14,1
Truck57750,14,1
Truck57751,14,1
Truck57752,14,1
Truck57753,14,1
Truck57754,14,1
Truck57755,14,1
Truck57756,14,1
Truck57757,14,1
Truck57758,14,1
Truck57759,14,1
Truck57760,14,1
Truck57761,14,1
Truck57762,14,1
Truck57763,14,1
Truck57764,14,1
Truck57765,14,1
Truck57766,14,1
Truck57767,14,1
Truck57768,14,1
Truck57769,14,1
Truck57770,14,1
Truck57771,14,1
Truck57772,14,1
Truck57773,14,1
Truck57774,14,1
Truck57775,14,1
Truck57776,14,1
Truck57777,14,1
Truck57778,14,1
Truck57779,14,1
Truck57780,14,1
Truck57781,14,1
Truck57782,14,1
Truck57783,14,1
Truck57784,14,1
Truck57785,14,1
Truck57786,14,1
Truck57787,14,1
Truck57788,14,1
Truck57789,14,1
Truck57790,14,1
Truck57791,14,1
Truck57792,14,1
Truck57793,14,1
Truck57794,14,1
Truck57795,14,1
Truck57796,14,1
Truck57797,14,1
Truck57798,14,1
Truck57799,14,1
Truck57800,14,1
Truck57801,14,1
Truck57802,14,1
Truck57803,14,1
Truck57804,14,1
Truck57805,14,1
Truck57806,14,1
Truck57807,14,1
Truck57808,14,1
Truck57809,14,1
Truck57810,14,1
Truck57811,14,1
Truck57812,14,1
Truck57813,14,1
Truck57814,14,1
Truck57815,14,1
Truck57816,14,1
Truck57817,14,1
Truck57818,14,1
Truck57819,14,1
Truck57820,14,1
Truck57821,14,1
Truck57822,14,1
Truck57823,14,1
Truck57824,14,1
Truck57825,14,1
Truck57826,14,1
Truck57827,14,1
Truck57828,14,1
Truck57829,14,1
Truck57830,14,1
Truck57831,14,1
Truck57832,14,1
Truck57833,14,1
Truck57834,14,1
Truck57835,14,1
Truck57836,14,1
Truck57837,14,1
Truck57838,14,1
Truck57839,14,1
Truck57840,14,1
Truck57841,14,1
Truck57842,14,1
Truck57843,14,1
Truck57844,14,1
Truck57845,14,1
Truck57846,14,1
Truck57847,14,1
Truck57848,14,1
Truck57849,14,1
Truck57850,14,1
Truck57851,14,1
Truck57852,14,1
Truck57853,14,1
Truck57854,14,1
Truck57855,14,1
Truck57856,14,1
Truck57857,14,1
Truck57858,14,1
Truck57859,14,1
Truck57860,14,1
Truck57861,14,1
Truck57862,14,1
Truck57863,14,1
Truck57864,14,1
Truck57865,14,1
Truck57866,14,1
Truck57867,14,1
Truck57868,14,1
Truck57869,14,1
Truck57870,14,1
Truck57871,14,1
Truck57872,14,1
Truck57873,14,1
Truck57874,14,1
Truck57875,14,1
Truck57876,14,1
Truck57877,14,1
Truck57878,14,1
Truck57879,14,1
Truck57880,14,1
Truck57881,14,1
Truck57882,14,1
Truck57883,14,1
Truck57884,14,1
Truck57885,14,1
Truck57886,14,1
Truck57887,14,1
Truck57888,14,1
Truck57889,14,1
Truck57890,14,1
Truck57891,14,1
