Unique_ID,Time_In_Model,Seed
Truck115200,14,1
Truck115201,14,1
Truck115202,14,1
Truck115203,14,1
Truck115204,14,1
Truck115205,14,1
Truck115206,14,1
Truck115207,14,1
Truck115208,14,1
Truck115209,14,1
Truck115210,14,1
Truck115211,14,1
Truck115212,14,1
Truck115213,14,1
Truck115214,14,1
Truck115215,14,1
Truck115216,14,1
Truck115217,14,1
Truck115218,14,1
Truck115219,14,1
Truck115220,14,1
Truck115221,14,1
Truck115222,14,1
Truck115223,14,1
Truck115224,14,1
Truck115225,14,1
Truck115226,14,1
Truck115227,14,1
Truck115228,14,1
Truck115229,14,1
Truck115230,14,1
Truck115231,14,1
Truck115232,14,1
Truck115233,14,1
Truck115234,14,1
Truck115235,14,1
Truck115236,14,1
Truck115237,14,1
Truck115238,14,1
Truck115239,14,1
Truck115240,14,1
Truck115241,14,1
Truck115242,14,1
Truck115243,14,1
Truck115244,14,1
Truck115245,14,1
Truck115246,14,1
Truck115247,14,1
Truck115248,14,1
Truck115249,14,1
Truck115250,14,1
Truck115251,14,1
Truck115252,14,1
Truck115253,14,1
Truck115254,14,1
Truck115255,14,1
Truck115256,14,1
Truck115257,14,1
Truck115258,14,1
Truck115259,14,1
Truck115260,14,1
Truck115261,14,1
Truck115262,14,1
Truck115263,14,1
Truck115264,14,1
Truck115265,14,1
Truck115266,14,1
Truck115267,14,1
Truck115268,14,1
Truck115269,14,1
Truck115270,14,1
Truck115271,14,1
Truck115272,14,1
Truck115273,14,1
Truck115274,14,1
Truck115275,14,1
Truck115276,14,1
Truck115277,14,1
Truck115278,14,1
Truck115279,14,1
Truck115280,14,1
Truck115281,14,1
Truck115282,14,1
Truck115283,14,1
Truck115284,14,1
Truck115285,14,1
Truck115286,14,1
Truck115287,14,1
Truck115288,14,1
Truck115289,14,1
Truck115290,14,1
Truck115291,14,1
Truck115292,14,1
Truck115293,14,1
Truck115294,14,1
Truck115295,14,1
Truck115296,14,1
Truck115297,14,1
Truck115298,14,1
Truck115299,14,1
Truck115300,14,1
Truck115301,14,1
Truck115302,14,1
Truck115303,14,1
Truck115304,14,1
Truck115305,14,1
Truck115306,14,1
Truck115307,14,1
Truck115308,14,1
Truck115309,14,1
Truck115310,14,1
Truck115311,14,1
Truck115312,14,1
Truck115313,14,1
Truck115314,14,1
Truck115315,14,1
Truck115316,14,1
Truck115317,14,1
Truck115318,14,1
Truck115319,14,1
Truck115320,14,1
Truck115321,14,1
Truck115322,14,1
Truck115323,14,1
Truck115324,14,1
Truck115325,14,1
Truck115326,14,1
Truck115327,14,1
Truck115328,14,1
Truck115329,14,1
Truck115330,14,1
Truck115331,14,1
Truck115332,14,1
Truck115333,14,1
Truck115334,14,1
Truck115335,14,1
Truck115336,14,1
Truck115337,14,1
Truck115338,14,1
Truck115339,14,1
Truck115340,14,1
Truck115341,14,1
Truck115342,14,1
Truck115343,14,1
Truck115344,14,1
Truck115345,14,1
Truck115346,14,1
Truck115347,14,1
Truck115348,14,1
Truck115349,14,1
Truck115350,14,1
Truck115351,14,1
Truck115352,14,1
Truck115353,14,1
Truck115354,14,1
Truck115355,14,1
Truck115356,14,1
Truck115357,14,1
Truck115358,14,1
Truck115359,14,1
Truck115360,14,1
Truck115361,14,1
Truck115362,14,1
Truck115363,14,1
Truck115364,14,1
Truck115365,14,1
Truck115366,14,1
Truck115367,14,1
Truck115368,14,1
Truck115369,14,1
Truck115370,14,1
Truck115371,14,1
Truck115372,14,1
Truck115373,14,1
Truck115374,14,1
Truck115375,14,1
Truck115376,14,1
Truck115377,14,1
Truck115378,14,1
Truck115379,14,1
Truck115380,14,1
Truck115381,14,1
Truck115382,14,1
Truck115383,14,1
Truck115384,14,1
Truck115385,14,1
Truck115386,14,1
Truck115387,14,1
Truck115388,14,1
Truck115389,14,1
Truck115390,14,1
Truck115391,14,1
Truck115392,14,1
Truck115393,14,1
Truck115394,14,1
Truck115395,14,1
Truck115396,14,1
Truck115397,14,1
Truck115398,14,1
Truck115399,14,1
Truck115400,14,1
Truck115401,14,1
Truck115402,14,1
Truck115403,14,1
Truck115404,14,1
Truck115405,14,1
Truck115406,14,1
Truck115407,14,1
Truck115408,14,1
Truck115409,14,1
Truck115410,14,1
Truck115411,14,1
Truck115412,14,1
Truck115413,14,1
Truck115414,14,1
Truck115415,14,1
Truck115416,14,1
Truck115417,14,1
Truck115418,14,1
Truck115419,14,1
Truck115420,14,1
Truck115421,14,1
Truck115422,14,1
Truck115423,14,1
Truck115424,14,1
Truck115425,14,1
Truck115426,14,1
Truck115427,14,1
Truck115428,14,1
Truck115429,14,1
Truck115430,14,1
Truck115431,14,1
Truck115432,14,1
Truck115433,14,1
Truck115434,14,1
Truck115435,14,1
Truck115436,14,1
Truck115437,14,1
Truck115438,14,1
Truck115439,14,1
Truck115440,14,1
Truck115441,14,1
Truck115442,14,1
Truck115443,14,1
Truck115444,14,1
Truck115445,14,1
Truck115446,14,1
Truck115447,14,1
Truck115448,14,1
Truck115449,14,1
Truck115450,14,1
Truck115451,14,1
Truck115452,14,1
Truck115453,14,1
Truck115454,14,1
Truck115455,14,1
Truck115456,14,1
Truck115457,14,1
Truck115458,14,1
Truck115459,14,1
Truck115460,14,1
Truck115461,14,1
Truck115462,14,1
Truck115463,14,1
Truck115464,14,1
Truck115465,14,1
Truck115466,14,1
Truck115467,14,1
Truck115468,14,1
Truck115469,14,1
Truck115470,14,1
Truck115471,14,1
Truck115472,14,1
Truck115473,14,1
Truck115474,14,1
Truck115475,14,1
Truck115476,14,1
Truck115477,14,1
Truck115478,14,1
Truck115479,14,1
Truck115480,14,1
Truck115481,14,1
Truck115482,14,1
Truck115483,14,1
Truck115484,14,1
Truck115485,14,1
Truck115486,14,1
Truck115487,14,1
Truck115488,14,1
Truck115489,14,1
Truck115490,14,1
Truck115491,14,1
Truck115492,14,1
Truck115493,14,1
Truck115494,14,1
Truck115495,14,1
Truck115496,14,1
Truck115497,14,1
Truck115498,14,1
Truck115499,14,1
Truck115500,14,1
Truck115501,14,1
Truck115502,14,1
Truck115503,14,1
Truck115504,14,1
Truck115505,14,1
Truck115506,14,1
Truck115507,14,1
Truck115508,14,1
Truck115509,14,1
Truck115510,14,1
Truck115511,14,1
Truck115512,14,1
Truck115513,14,1
Truck115514,14,1
Truck115515,14,1
Truck115516,14,1
Truck115517,14,1
Truck115518,14,1
Truck115519,14,1
Truck115520,14,1
Truck115521,14,1
Truck115522,14,1
Truck115523,14,1
Truck115524,14,1
Truck115525,14,1
Truck115526,14,1
Truck115527,14,1
Truck115528,14,1
Truck115529,14,1
Truck115530,14,1
Truck115531,14,1
Truck115532,14,1
Truck115533,14,1
Truck115534,14,1
Truck115535,14,1
Truck115536,14,1
Truck115537,14,1
Truck115538,14,1
Truck115539,14,1
Truck115540,14,1
Truck115541,14,1
Truck115542,14,1
Truck115543,14,1
Truck115544,14,1
Truck115545,14,1
Truck115546,14,1
Truck115547,14,1
Truck115548,14,1
Truck115549,14,1
Truck115550,14,1
Truck115551,14,1
Truck115552,14,1
Truck115553,14,1
Truck115554,14,1
Truck115555,14,1
Truck115556,14,1
Truck115557,14,1
Truck115558,14,1
Truck115559,14,1
Truck115560,14,1
Truck115561,14,1
Truck115562,14,1
Truck115563,14,1
Truck115564,14,1
Truck115565,14,1
Truck115566,14,1
Truck115567,14,1
Truck115568,14,1
Truck115569,14,1
Truck115570,14,1
Truck115571,14,1
Truck115572,14,1
Truck115573,14,1
Truck115574,14,1
Truck115575,14,1
Truck115576,14,1
Truck115577,14,1
Truck115578,14,1
Truck115579,14,1
Truck115580,14,1
Truck115581,14,1
Truck115582,14,1
Truck115583,14,1
Truck115584,14,1
Truck115585,14,1
Truck115586,14,1
Truck115587,14,1
Truck115588,14,1
Truck115589,14,1
Truck115590,14,1
Truck115591,14,1
Truck115592,14,1
Truck115593,14,1
Truck115594,14,1
Truck115595,14,1
Truck115596,14,1
Truck115597,14,1
Truck115598,14,1
Truck115599,14,1
Truck115600,14,1
Truck115601,14,1
Truck115602,14,1
Truck115603,14,1
Truck115604,14,1
Truck115605,14,1
Truck115606,14,1
Truck115607,14,1
Truck115608,14,1
Truck115609,14,1
Truck115610,14,1
Truck115611,14,1
Truck115612,14,1
Truck115613,14,1
Truck115614,14,1
Truck115615,14,1
Truck115616,14,1
Truck115617,14,1
Truck115618,14,1
Truck115619,14,1
Truck115620,14,1
Truck115621,14,1
Truck115622,14,1
Truck115623,14,1
Truck115624,14,1
Truck115625,14,1
Truck115626,14,1
Truck115627,14,1
Truck115628,14,1
Truck115629,14,1
Truck115630,14,1
Truck115631,14,1
Truck115632,14,1
Truck115633,14,1
Truck115634,14,1
Truck115635,14,1
Truck115636,14,1
Truck115637,14,1
Truck115638,14,1
Truck115639,14,1
Truck115640,14,1
Truck115641,14,1
Truck115642,14,1
Truck115643,14,1
Truck115644,14,1
Truck115645,14,1
Truck115646,14,1
Truck115647,14,1
Truck115648,14,1
Truck115649,14,1
Truck115650,14,1
Truck115651,14,1
Truck115652,14,1
Truck115653,14,1
Truck115654,14,1
Truck115655,14,1
Truck115656,14,1
Truck115657,14,1
Truck115658,14,1
Truck115659,14,1
Truck115660,14,1
Truck115661,14,1
Truck115662,14,1
Truck115663,14,1
Truck115664,14,1
Truck115665,14,1
Truck115666,14,1
Truck115667,14,1
Truck115668,14,1
Truck115669,14,1
Truck115670,14,1
Truck115671,14,1
Truck115672,14,1
Truck115673,14,1
Truck115674,14,1
Truck115675,14,1
Truck115676,14,1
Truck115677,14,1
Truck115678,14,1
Truck115679,14,1
Truck115680,14,1
Truck115681,14,1
Truck115682,14,1
Truck115683,14,1
Truck115684,14,1
Truck115685,14,1
Truck115686,14,1
