road,model_type,condition,name,lat,lon,length,chainage,road name2
N1,bridge,A,MILL GHAT BOX CULVERT,23.4951944444444,90.983,4.5,68.04,
N1,bridge,C,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,23.4890555555555,91.0120555555555,23.1,71.156,
N1,bridge,B,CORI PAI BOX CULVERT,23.4812777777777,91.0411388888888,4.6,74.279,
N1,bridge,B,COREPAI BOX CULVERT,23.4820833333333,91.0504444444444,4.6,75.312,
N1,bridge,A,NIMSHAR SLAB CULVERT,23.4815277777777,91.0617777777777,1.5,76.481,
N1,bridge,C,KABILA DUBARCHAR SLAB CULVERT,23.4770277777777,91.0792777777777,1.0,78.382,
N1,bridge,B,NAZIRA BOX CULVERT,23.4778611111111,91.1036666666666,3.0,80.949,
N1,intersection,,,23.4789716,91.118166,,81.846,N102
N1,bridge,A,TIPRA BAZAR BOX CULVERT,23.4788333333333,91.1177499999999,1.4,82.437,
N1,bridge,A,AMTOLI SLAB CULVERT,23.4792777777777,91.1234999999999,2.9,82.989,
N1,bridge,A,DHANPUR RCC GIDER BRIDGE,23.4489444444444,91.14725,23.4,87.713,
N1,bridge,C,Paduar Bazar Bridge,23.4212487704918,91.1678943372365,35.97,91.092,
N1,bridge,B,MOSTAPUR RCC GIDER BRIDGE,23.4131111111111,91.1846111111111,27.9,93.6,
N1,bridge,A,RAZAPARA RCC GIDER BRIDGE,23.4037777777777,91.2175833333333,27.9,97.257,
N1,bridge,A,Suagazi Bridge.,23.3914441,91.2293049,30.48,100.938,
N1,bridge,C,Lalbag Bridge.,23.3683327,91.2471108,22.88,103.456,
N1,bridge,A,CHANSIRI BOXCUIVERT,23.3488055555555,91.2599166666666,14.3,104.753,
N1,bridge,A,MIABAZAR BOX CULVERT,23.336,91.2701111111111,24.0,106.519,
N1,bridge,A,NOYA BAZER BOX CULVERT,23.3241944444444,91.2790833333333,9.2,108.125,
N1,bridge,B,DOLL BARI CULVERT,23.3150277777777,91.2844722222222,19.2,109.289,
N1,bridge,B,DHARMA PUR SLAB CULVERT,23.3104166666666,91.2861111111111,2.6,109.897,
N1,bridge,A,LALGORE BEZER CULVERT,23.3039166666666,91.2887777777777,3.2,110.551,
N1,bridge,A,SUPUYA BOX CULVERT,23.2960277777777,91.2915,13.4,111.509,
N1,bridge,B,BOWCHI BAZAR CULVERT,23.28775,91.2936111111111,4.6,112.469,
N1,bridge,B,AMAN GONG SLAB CULVERT,23.2788333333333,91.3003055555555,6.3,113.717,
N1,bridge,B,RANGAMATIA (1) BOX CULVERT,23.2677777777777,91.3054722222222,3.0,115.052,
N1,bridge,B,RANGOWATIA 2 CULVERT,23.2655277777777,91.3064444444444,3.0,115.326,
N1,bridge,B,NOWA PARA BOX CULVERT,23.26375,91.3067222222222,3.6,115.525,
N1,bridge,B,HARISHARDE CULVERT,23.2588611111111,91.3074166666666,4.5,116.074,
N1,bridge,B,SONAGATI BOX CULVERT,23.2499444444444,91.3091666666666,2.5,117.087,
N1,bridge,B,BALUJURI BOX CULVERT,23.2483888888888,91.3098611111111,19.2,117.269,
N1,bridge,A,BALUZURI 2 CULVERT,23.2453611111111,91.3110555555555,2.6,117.627,
N1,bridge,A,KALIR BAZAR BOX CULVERT,23.2417777777777,91.3123888888888,2.5,118.049,
N1,bridge,B,KALIA BAZER BOC CULVERT,23.2345555555555,91.3131388888888,3.1,118.856,
N1,bridge,B,CHAUDDAGARAM BOX CULVERT,23.2315277777777,91.3131666666666,2.6,119.19,
N1,bridge,A,CHADDAGRAM BAZAR BOX CULVERT,23.2275833333333,91.3133611111111,6.0,119.628,
N1,bridge,B,HAYDAR POLE BOX CULVERT,23.2185833333333,91.3143333333333,14.3,120.634,
N1,bridge,A,FALGUNCORA CULVERT,23.2103888888888,91.3156944444444,6.1,121.567,
N1,bridge,A,ATTOCK GRAM BOX CULVERT,23.2010833333333,91.31675,6.1,122.603,
N1,bridge,C,BOSONTA PUR BOX CULVERT,23.1921111111111,91.3185,6.1,123.681,
N1,bridge,B,BASHONTA PUR (2),23.1866944444444,91.3211944444444,9.5,124.346,
N1,bridge,B,NANKORA BOX CULVERT,23.1774166666666,91.3197222222222,3.1,125.41,
N1,bridge,A,ANDAJER BAZER BOX CULVERT,23.1681944444444,91.3214166666666,9.5,126.448,
N1,bridge,B,DIMATOLI (1) BOX CULVERT,23.1572499999999,91.3224722222222,6.3,127.673,
N1,bridge,B,DIMATOLY (2) BOX CULVERT,23.1481388888888,91.3264166666666,3.5,128.767,
N1,bridge,B,JAGARNATHPUR BOX CULVERT,23.1434444444444,91.3266666666666,6.1,129.291,
N1,bridge,B,JAGOT PUR BOX CULVERT,23.1374444444444,91.3264444444444,3.0,129.955,
N1,bridge,A,HASO BOTHACH BOX CULVERT,23.1291111111111,91.3286666666666,6.5,130.912,
N1,bridge,B,FOKIR BAZAR SLAB CULVERT,23.1235277777777,91.3311111111111,4.5,131.577,
N1,bridge,B,KAKKARA CULVERT,23.1193333333333,91.3330277777777,5.3,132.079,
N1,bridge,A,Chanara Box Culvert,23.1108333333333,91.3381944444444,6.1,133.155,
N1,bridge,B,CHANGARPULL(II) BOX CULVERT,23.1045277777777,91.3414166666666,3.1,133.873,
N1,bridge,B,ADONCORA,23.1006666666666,91.3436944444444,9.5,134.426,
N1,bridge,A,PODOYA BOX CULVERT,23.0962777777777,91.3461111111111,3.1,134.974,
N1,bridge,B,FOEALTPARA BOX CULVERT,23.0901666666666,91.3494166666666,9.25,135.723,
N1,bridge,A,UTTOR KAIEATI CULVERT,23.0850555555555,91.3524166666666,3.5,136.375,
N1,bridge,B,KOKALI BOX CULVERT,23.0809166666666,91.3548611111111,14.2,136.899,
N1,bridge,B,DUTHOSHA BOX CULVERT,23.0733611111111,91.3593888888888,6.1,137.856,
N1,bridge,B,MOHAMMAD ALI MAZAR,23.0638055555555,91.3616111111111,4.0,138.953,
N1,bridge,A,FATAPUR BOX CULVERT,23.0423333333333,91.3654444444444,10.8,141.531,
N1,bridge,A,DEBIPUR SLAB CULVERT,23.0295555555555,91.3655833333333,1.6,142.793,
N1,bridge,A,CHARIPUR CULVERT.,23.01425,91.3759722222222,3.4,144.939,
N1,intersection,,,23.0095556,91.3813604,,145.409,N104
N1,bridge,A,RAMPUR BOX CULVERT,23.003,91.3880833333333,1.5,147.296,
N1,bridge,A,RAMPUR BRIDGE,22.9961666666666,91.4004166666666,23.4,148.151,
N1,bridge,A,Rampur Bridge(R),22.9945936133042,91.4024539137404,22.15,148.174,
N1,bridge,A,.,22.9806944444444,91.4171666666666,1.9,148.495,
N1,bridge,C,Lemua Bridge(L),22.9625,91.4416666666666,98.87,153.843,
N1,bridge,A,FAZAILPUR BOXCULVERT,22.9484444444444,91.4781388888888,1.5,158.031,
N1,bridge,B,Muhuri Bridge(L),22.9497222222222,91.5008333333333,193.22,160.379,
N1,bridge,A,DumGhat Bridge(L),22.9155555555555,91.5252777777777,222.43,165.183,
N1,bridge,A,BUMGAT BOXCULVERT,22.9103611111111,91.5285555555555,6.1,165.825,
N1,bridge,A,BOROYAR PARA SLUB CULVERT,22.9050277777777,91.5312222222222,3.0,166.479,
N1,bridge,A,BAROYARHAT BOX CULVERT,22.8922777777777,91.5353055555555,3.0,167.963,
N1,bridge,A,UTTOR SONAPAR BOX CULVERT,22.8751944444444,91.5406666666666,4.3,169.933,
N1,bridge,A,CHAIRMEN BARI BOX CULVERT,22.8731666666666,91.5414166666666,2.0,170.174,
N1,bridge,A,MADDAM SONAPAR(1) BOX CULVERT,22.8684166666666,91.5431111111111,1.5,170.725,
N1,bridge,A,DHARBAR TILA CULVERT,22.86125,91.5453055555555,4.3,171.554,
N1,bridge,A,MADDUM SONAPHAR-3,22.8596388888888,91.5429722222222,2.0,171.728,
