road,model_type,condition,name,lat,lon,length,chainage,road name2,id
N1,sourcesink,,,23.7060278,90.443333,0.1,0,,1000000
N1,link,,,23.70288889,90.45038889,1.8,0,,1000001
N1,bridge,A,,23.70288889,90.45038889,11.3,1.8,,1000002
N1,link,,,23.69361111,90.47883333,3.125,1.8,,1000003
N1,bridge,A,,23.69361111,90.47883333,6.6,4.925,,1000004
N1,link,,,23.7060833,90.5215271,3.838,4.925,,1000005
N1,intersection,,,23.7060833,90.5215271,0.1,8.763,N2,1000006
N1,link,,,23.70208333,90.51591667,0.213,8.763,,1000007
N1,bridge,C,,23.70208333,90.51591667,397,8.976,,1000008
N1,link,,,23.70205556,90.52819444,1.567,8.976,,1000009
N1,bridge,B,,23.70205556,90.52819444,8,10.543,,1000010
N1,link,,,23.69983333,90.53072222,0.337,10.543,,1000011
N1,bridge,A,,23.69983333,90.53072222,6.3,10.88,,1000012
N1,link,,,23.69966667,90.53072222,0.017,10.88,,1000013
N1,bridge,A,,23.69966667,90.53072222,6.3,10.897,,1000014
N1,link,,,23.69736111,90.53383333,0.399,10.897,,1000015
N1,bridge,A,,23.69736111,90.53383333,8.3,11.296,,1000016
N1,link,,,23.69430556,90.53786111,0.512,11.296,,1000017
N1,bridge,B,,23.69430556,90.53786111,10.6,11.808,,1000018
N1,link,,,23.6904163,90.546583,0.128,11.808,,1000019
N1,intersection,,,23.6904163,90.546583,0.1,11.936,N105,1000020
N1,link,,,23.69233333,90.541,0.303,11.936,,1000021
N1,bridge,A,,23.69233333,90.541,9.3,12.239,,1000022
N1,link,,,23.69255556,90.54113889,0.014,12.239,,1000023
N1,bridge,A,,23.69255556,90.54113889,6.1,12.253,,1000024
N1,link,,,23.6854997,90.5512778,0.407,12.253,,1000025
N1,bridge,A,,23.6854997,90.5512778,27.5,12.66,,1000026
N1,link,,,23.68536198,90.55135918,0.028,12.66,,1000027
N1,bridge,A,,23.68536198,90.55135918,27.5,12.688,,1000028
N1,link,,,23.68561111,90.55119444,0.886,12.688,,1000029
N1,bridge,A,,23.68561111,90.55119444,11.9,13.574,,1000030
N1,link,,,23.67061111,90.56,1.891,13.574,,1000031
N1,bridge,B,,23.67061111,90.56,5.55,15.465,,1000032
N1,link,,,23.6559167,90.5745271,1.669,15.465,,1000033
N1,bridge,C,,23.6559167,90.5745271,159.52,17.134,,1000034
N1,link,,,23.6508889,90.5826382,0.088,17.134,,1000035
N1,bridge,A,,23.6508889,90.5826382,20.5,17.222,,1000036
N1,link,,,23.65608333,90.57438889,0.5,17.222,,1000037
N1,bridge,B,,23.65608333,90.57438889,20,17.722,,1000038
N1,link,,,23.6497544,90.58454901,0.371,17.722,,1000039
N1,bridge,A,,23.6497544,90.58454901,25.5,18.093,,1000040
N1,link,,,23.65038889,90.58236111,0.649,18.093,,1000041
N1,bridge,C,,23.65038889,90.58236111,40.5,18.742,,1000042
N1,link,,,23.64680556,90.58991667,1.018,18.742,,1000043
N1,bridge,A,,23.64680556,90.58991667,6,19.76,,1000044
N1,link,,,23.63980556,90.59266667,0.637,19.76,,1000045
N1,bridge,B,,23.63980556,90.59266667,10.4,20.397,,1000046
N1,link,,,23.62846685,90.60230157,0.787,20.397,,1000047
N1,bridge,A,,23.62846685,90.60230157,89.75,21.184,,1000048
N1,link,,,23.62630556,90.604,1.144,21.184,,1000049
N1,bridge,B,,23.62630556,90.604,5.5,22.328,,1000050
N1,link,,,23.6176408,90.60955061,0.268,22.328,,1000051
N1,bridge,B,,23.6176408,90.60955061,224.82,22.596,,1000052
N1,link,,,23.62052778,90.60791667,0.485,22.596,,1000053
N1,bridge,A,,23.62052778,90.60791667,120.1,23.081,,1000054
N1,link,,,23.6018611,90.6159722,1.312,23.081,,1000055
N1,bridge,A,,23.6018611,90.6159722,924.85,24.393,,1000056
N1,link,,,23.598,90.62219444,1.722,24.393,,1000057
N1,bridge,A,,23.598,90.62219444,5.6,26.115,,1000058
N1,link,,,23.59616667,90.62469444,0.337,26.115,,1000059
N1,bridge,A,,23.59616667,90.62469444,5.5,26.452,,1000060
N1,link,,,23.59175,90.62933333,0.668,26.452,,1000061
N1,bridge,A,,23.59175,90.62933333,5.6,27.12,,1000062
N1,link,,,23.5825827,90.6381386,1.195,27.12,,1000063
N1,bridge,A,,23.5825827,90.6381386,173.25,28.315,,1000064
N1,link,,,23.572166,90.6451108,0.823,28.315,,1000065
N1,bridge,A,,23.572166,90.6451108,29.85,29.138,,1000066
N1,link,,,23.57236111,90.64516667,0.704,29.138,,1000067
N1,bridge,A,,23.57236111,90.64516667,34.7,29.842,,1000068
N1,link,,,23.5590278,90.6559444,1.066,29.842,,1000069
N1,bridge,A,,23.5590278,90.6559444,27.4,30.908,,1000070
N1,link,,,23.5523333,90.6636667,0.564,30.908,,1000071
N1,bridge,A,,23.5523333,90.6636667,29.85,31.472,,1000072
N1,link,,,23.55174219,90.66435388,0.649,31.472,,1000073
N1,bridge,A,,23.55174219,90.66435388,29.9,32.121,,1000074
N1,link,,,23.55241667,90.66361111,0.656,32.121,,1000075
N1,bridge,A,,23.55241667,90.66361111,9.1,32.777,,1000076
N1,link,,,23.55236111,90.66366667,0.019,32.777,,1000077
N1,bridge,A,,23.55236111,90.66366667,5.2,32.796,,1000078
N1,link,,,23.54736111,90.6695,0.795,32.796,,1000079
N1,bridge,A,,23.54736111,90.6695,72.49,33.591,,1000080
N1,link,,,23.54427778,90.67308333,0.52,33.591,,1000081
N1,bridge,C,,23.54427778,90.67308333,5.1,34.111,,1000082
N1,link,,,23.53422222,90.68433333,1.07,34.111,,1000083
N1,bridge,A,,23.53422222,90.68433333,9.5,35.181,,1000084
N1,link,,,23.529916,90.6952219,0.227,35.181,,1000085
N1,bridge,A,,23.529916,90.6952219,25.45,35.408,,1000086
N1,link,,,23.53408333,90.68419444,0.299,35.408,,1000087
N1,bridge,A,,23.53408333,90.68419444,8.4,35.707,,1000088
N1,link,,,23.52986111,90.69513889,1.303,35.707,,1000089
N1,bridge,C,,23.52986111,90.69513889,1408.8,37.01,,1000090
N1,link,,,23.5228186,90.72428593,2.294,37.01,,1000091
N1,bridge,C,,23.5228186,90.72428593,23.1,39.304,,1000092
N1,link,,,23.53347222,90.72272222,0.556,39.304,,1000093
N1,bridge,B,,23.53347222,90.72272222,6,39.86,,1000094
N1,link,,,23.52980506,90.75825325,3.076,39.86,,1000095
N1,bridge,C,,23.52980506,90.75825325,16.5,42.936,,1000096
N1,link,,,23.53038889,90.77311111,2.228,42.936,,1000097
N1,bridge,C,,23.53038889,90.77311111,3.9,45.164,,1000098
N1,link,,,23.53175,90.7895,1.707,45.164,,1000099
N1,bridge,C,,23.53175,90.7895,6.5,46.871,,1000100
N1,link,,,23.53094444,90.80419444,1.513,46.871,,1000101
N1,bridge,C,,23.53094444,90.80419444,15.9,48.384,,1000102
N1,link,,,23.53472222,90.825,2.174,48.384,,1000103
N1,bridge,A,,23.53472222,90.825,12.2,50.558,,1000104
N1,link,,,23.5265,90.83919444,1.755,50.558,,1000105
N1,bridge,C,,23.5265,90.83919444,4.5,52.313,,1000106
N1,link,,,23.51319444,90.87058333,3.693,52.313,,1000107
N1,bridge,B,,23.51319444,90.87058333,28.9,56.006,,1000108
N1,link,,,23.50555556,90.89863889,2.832,56.006,,1000109
N1,bridge,B,,23.50555556,90.89863889,5.9,58.838,,1000110
N1,link,,,23.50594444,90.91522222,1.992,58.838,,1000111
N1,bridge,B,,23.50594444,90.91522222,3,60.83,,1000112
N1,link,,,23.50388889,90.93713889,2.268,60.83,,1000113
N1,bridge,B,,23.50388889,90.93713889,6,63.098,,1000114
N1,link,,,23.50238889,90.94202778,0.44,63.098,,1000115
N1,bridge,A,,23.50238889,90.94202778,3,63.538,,1000116
N1,link,,,23.49811111,90.96608333,2.64,63.538,,1000117
N1,bridge,B,,23.49811111,90.96608333,4.6,66.178,,1000118
N1,link,,,23.49519444,90.983,1.862,66.178,,1000119
N1,bridge,A,,23.49519444,90.983,4.5,68.04,,1000120
N1,link,,,23.48905556,91.01205556,3.116,68.04,,1000121
N1,bridge,C,,23.48905556,91.01205556,23.1,71.156,,1000122
N1,link,,,23.48127778,91.04113889,3.123,71.156,,1000123
N1,bridge,B,,23.48127778,91.04113889,4.6,74.279,,1000124
N1,link,,,23.48208333,91.05044444,1.033,74.279,,1000125
N1,bridge,B,,23.48208333,91.05044444,4.6,75.312,,1000126
N1,link,,,23.48152778,91.06177778,1.169,75.312,,1000127
N1,bridge,A,,23.48152778,91.06177778,1.5,76.481,,1000128
N1,link,,,23.47702778,91.07927778,1.901,76.481,,1000129
N1,bridge,C,,23.47702778,91.07927778,1,78.382,,1000130
N1,link,,,23.47786111,91.10366667,2.567,78.382,,1000131
N1,bridge,B,,23.47786111,91.10366667,3,80.949,,1000132
N1,link,,,23.4789716,91.118166,0.897,80.949,,1000133
N1,intersection,,,23.4789716,91.118166,0.1,81.846,N102,1000134
N1,link,,,23.47883333,91.11775,0.591,81.846,,1000135
N1,bridge,A,,23.47883333,91.11775,1.4,82.437,,1000136
N1,link,,,23.47927778,91.1235,0.552,82.437,,1000137
N1,bridge,A,,23.47927778,91.1235,2.9,82.989,,1000138
N1,link,,,23.44894444,91.14725,4.724,82.989,,1000139
N1,bridge,A,,23.44894444,91.14725,23.4,87.713,,1000140
N1,link,,,23.42124877,91.16789434,3.379,87.713,,1000141
N1,bridge,C,,23.42124877,91.16789434,35.97,91.092,,1000142
N1,link,,,23.41311111,91.18461111,2.508,91.092,,1000143
N1,bridge,B,,23.41311111,91.18461111,27.9,93.6,,1000144
N1,link,,,23.40377778,91.21758333,3.657,93.6,,1000145
N1,bridge,A,,23.40377778,91.21758333,27.9,97.257,,1000146
N1,link,,,23.3914441,91.2293049,3.681,97.257,,1000147
N1,bridge,A,,23.3914441,91.2293049,30.48,100.938,,1000148
N1,link,,,23.3683327,91.2471108,2.518,100.938,,1000149
N1,bridge,C,,23.3683327,91.2471108,22.88,103.456,,1000150
N1,link,,,23.34880556,91.25991667,1.297,103.456,,1000151
N1,bridge,A,,23.34880556,91.25991667,14.3,104.753,,1000152
N1,link,,,23.336,91.27011111,1.766,104.753,,1000153
N1,bridge,A,,23.336,91.27011111,24,106.519,,1000154
N1,link,,,23.32419444,91.27908333,1.606,106.519,,1000155
