road,model_type,condition,name,lat,lon,length,chainage,road name2,id
N1,bridge,A,Alipur bridge(R),23.5590278,90.6559444,4724,30.908,,1000070
N1,link,,link_36,23.5523333,90.6636667,3379,30.908,,1000071
N1,bridge,A,Bhaber char Bridge(R),23.5523333,90.6636667,2508,31.472,,1000072
N1,link,,link_37,23.55174219,90.66435388,3657,31.472,,1000073
N1,bridge,A,Baushia Bridge(L),23.55174219,90.66435388,3681,32.121,,1000074
N1,link,,link_38,23.55241667,90.66361111,2518,32.121,,1000075
N1,bridge,A,PURRANBUICHE BOX CULVERT,23.55241667,90.66361111,1297,32.777,,1000076
N1,link,,link_39,23.55236111,90.66366667,1766,32.777,,1000077
N1,bridge,A,NOYAPARA,23.55236111,90.66366667,1606,32.796,,1000078
N1,link,,link_40,23.54736111,90.6695,1164,32.796,,1000079
N1,bridge,A,Madhya Baushia Bridge(L),23.54736111,90.6695,608,33.591,,1000080
N1,link,,link_41,23.54427778,90.67308333,654,33.591,,1000081
N1,bridge,C,BOCTAR KANDI BOX CULVERT,23.54427778,90.67308333,958,34.111,,1000082
N1,link,,link_42,23.53422222,90.68433333,960,34.111,,1000083
N1,bridge,A,.,23.53422222,90.68433333,1248,35.181,,1000084
N1,link,,link_43,23.529916,90.6952219,1335,35.181,,1000085
N1,bridge,A,Baushia bazar Bridge( L ),23.529916,90.6952219,274,35.408,,1000086
N1,link,,link_44,23.53408333,90.68419444,199,35.408,,1000087
N1,bridge,A,CHAR BOUSHEA (2),23.53408333,90.68419444,549,35.707,,1000088
N1,link,,link_45,23.52986111,90.69513889,1013,35.707,,1000089
N1,bridge,C,Daud Kandi Bridge,23.52986111,90.69513889,182,37.01,,1000090
N1,link,,link_46,23.5228186,90.72428593,358,37.01,,1000091
N1,bridge,C,Baldhakhal Bridge,23.5228186,90.72428593,422,39.304,,1000092
N1,link,,link_47,23.53347222,90.72272222,807,39.304,,1000093
N1,bridge,B,MAIS PARA BOX CULVERT,23.53347222,90.72272222,334,39.86,,1000094
N1,link,,link_48,23.52980506,90.75825325,438,39.86,,1000095
N1,bridge,C,Shahid Nagor Bridge,23.52980506,90.75825325,1006,42.936,,1000096
N1,link,,link_49,23.53038889,90.77311111,933,42.936,,1000097
N1,bridge,C,SARKAR BARI CULVERT,23.53038889,90.77311111,1036,45.164,,1000098
N1,link,,link_50,23.53175,90.7895,1078,45.164,,1000099
N1,bridge,C,AMIRABATH SLAB CULVERT,23.53175,90.7895,665,46.871,,1000100
N1,link,,link_51,23.53094444,90.80419444,1064,46.871,,1000101
N1,bridge,C,Ginlatoly,23.53094444,90.80419444,1038,48.384,,1000102
N1,link,,link_52,23.53472222,90.825,1225,48.384,,1000103
N1,bridge,A,RAIPUR BOX CULVERT,23.53472222,90.825,1094,50.558,,1000104
N1,link,,link_53,23.5265,90.83919444,524,50.558,,1000105
N1,bridge,C,AITAL BANGA BOX CULVERT,23.5265,90.83919444,664,52.313,,1000106
N1,link,,link_54,23.51319444,90.87058333,957,52.313,,1000107
N1,bridge,B,ILLIOT BAZER,23.51319444,90.87058333,665,56.006,,1000108
N1,link,,link_55,23.50555556,90.89863889,502,56.006,,1000109
N1,bridge,B,KHAT GHOR BOX CULVERT,23.50555556,90.89863889,1076,58.838,,1000110
N1,link,,link_56,23.50594444,90.91522222,718,58.838,,1000111
N1,bridge,B,BAKRA BOX CULVERT,23.50594444,90.91522222,553,60.83,,1000112
N1,link,,link_57,23.50388889,90.93713889,548,60.83,,1000113
N1,bridge,B,MATIA BAZER,23.50388889,90.93713889,749,63.098,,1000114
N1,link,,link_58,23.50238889,90.94202778,652,63.098,,1000115
N1,bridge,A,SONAPUR BOX CULVERT,23.50238889,90.94202778,524,63.538,,1000116
N1,link,,link_59,23.49811111,90.96608333,957,63.538,,1000117
N1,bridge,B,KARON KHAL SLAB CULVERT,23.49811111,90.96608333,1097,66.178,,1000118
N1,link,,link_60,23.49519444,90.983,2578,66.178,,1000119
N1,bridge,A,MILL GHAT BOX CULVERT,23.49519444,90.983,1262,68.04,,1000120
N1,link,,link_61,23.48905556,91.01205556,2146,68.04,,1000121
N1,bridge,C,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,23.48905556,91.01205556,470,71.156,,1000122
N1,link,,link_62,23.48127778,91.04113889,1887,71.156,,1000123
N1,bridge,B,CORI PAI BOX CULVERT,23.48127778,91.04113889,855,74.279,,1000124
N1,link,,link_63,23.48208333,91.05044444,23,74.279,,1000125
N1,bridge,B,COREPAI BOX CULVERT,23.48208333,91.05044444,321,75.312,,1000126
N1,link,,link_64,23.48152778,91.06177778,5348,75.312,,1000127
N1,bridge,A,NIMSHAR SLAB CULVERT,23.48152778,91.06177778,4188,76.481,,1000128
N1,link,,link_65,23.47702778,91.07927778,2348,76.481,,1000129
N1,bridge,C,KABILA DUBARCHAR SLAB CULVERT,23.47702778,91.07927778,4804,78.382,,1000130
N1,link,,link_66,23.47786111,91.10366667,642,78.382,,1000131
N1,bridge,B,NAZIRA BOX CULVERT,23.47786111,91.10366667,654,80.949,,1000132
N1,link,,link_67,23.4789716,91.118166,1484,80.949,,1000133
N1,intersection,,,23.4789716,91.118166,1970,81.846,N102,1000134
N1,link,,link_68,23.47883333,91.11775,241,81.846,,1000135
N1,bridge,A,TIPRA BAZAR BOX CULVERT,23.47883333,91.11775,551,82.437,,1000136
N1,link,,link_69,23.47927778,91.1235,829,82.437,,1000137
N1,bridge,A,AMTOLI SLAB CULVERT,23.47927778,91.1235,174,82.989,,1000138
N1,link,,link_70,23.44894444,91.14725,394,82.989,,1000139
N1,bridge,A,DHANPUR RCC GIDER BRIDGE,23.44894444,91.14725,108,87.713,,1000140
N1,link,,link_71,23.42124877,91.16789434,739,87.713,,1000141
N1,bridge,C,Paduar Bazar Bridge,23.42124877,91.16789434,381,91.092,,1000142
N1,link,,link_72,23.41311111,91.18461111,235,91.092,,1000143
N1,bridge,B,MOSTAPUR RCC GIDER BRIDGE,23.41311111,91.18461111,274,93.6,,1000144
N1,link,,link_73,23.40377778,91.21758333,945,93.6,,1000145
N1,bridge,A,RAZAPARA RCC GIDER BRIDGE,23.40377778,91.21758333,209,97.257,,1000146
N1,link,,link_74,23.3914441,91.2293049,772,97.257,,1000147
N1,bridge,A,Suagazi Bridge.,23.3914441,91.2293049,1462,100.938,,1000148
N1,link,,link_75,23.3683327,91.2471108,2116,100.938,,1000149
N1,bridge,C,Lalbag Bridge.,23.3683327,91.2471108,1487,103.456,,1000150
N1,link,,link_76,23.34880556,91.25991667,975,103.456,,1000151
N1,bridge,A,CHANSIRI BOXCUIVERT,23.34880556,91.25991667,493,104.753,,1000152
N1,link,,link_77,23.336,91.27011111,978,104.753,,1000153
N1,bridge,A,MIABAZAR BOX CULVERT,23.336,91.27011111,1358,106.519,,1000154
N1,link,,link_78,23.32419444,91.27908333,404,106.519,,1000155
N1,bridge,A,NOYA BAZER BOX CULVERT,23.32419444,91.27908333,784,108.125,,1000156
N1,link,,link_79,23.31502778,91.28447222,2508,108.125,,1000157
N1,bridge,B,DOLL BARI CULVERT,23.31502778,91.28447222,708,109.289,,1000158
N1,link,,link_80,23.31041667,91.28611111,72,109.289,,1000159
N1,bridge,B,DHARMA PUR SLAB CULVERT,23.31041667,91.28611111,450,109.897,,1000160
N1,link,,link_81,23.30391667,91.28877778,1527,109.897,,1000161
N1,bridge,A,LALGORE BEZER CULVERT,23.30391667,91.28877778,1301,110.551,,1000162
N1,link,,link_82,23.29602778,91.2915,542,110.551,,1000163
N1,bridge,A,SUPUYA BOX CULVERT,23.29602778,91.2915,1199,111.509,,1000164
N1,link,,link_83,23.28775,91.29361111,849,111.509,,1000165
N1,bridge,B,BOWCHI BAZAR CULVERT,23.28775,91.29361111,503,112.469,,1000166
N1,link,,link_84,23.27883333,91.30030556,537,112.469,,1000167
N1,bridge,B,AMAN GONG SLAB CULVERT,23.27883333,91.30030556,887,113.717,,1000168
N1,link,,link_85,23.26777778,91.30547222,465,113.717,,1000169
N1,bridge,B,RANGAMATIA (1) BOX CULVERT,23.26777778,91.30547222,456,115.052,,1000170
N1,link,,link_86,23.26552778,91.30644444,1433,115.052,,1000171
N1,bridge,B,RANGOWATIA 2 CULVERT,23.26552778,91.30644444,223,115.326,,1000172
N1,link,,link_87,23.26375,91.30672222,775,115.326,,1000173
N1,bridge,B,NOWA PARA BOX CULVERT,23.26375,91.30672222,298,115.525,,1000174
N1,link,,link_88,23.25886111,91.30741667,343,115.525,,1000175
N1,bridge,B,HARISHARDE CULVERT,23.25886111,91.30741667,602,116.074,,1000176
N1,link,,link_89,23.24994444,91.30916667,479,116.074,,1000177
N1,bridge,B,SONAGATI BOX CULVERT,23.24994444,91.30916667,436,117.087,,1000178
N1,link,,link_90,23.24838889,91.30986111,1022,117.087,,1000179
N1,bridge,B,BALUJURI BOX CULVERT,23.24838889,91.30986111,194,117.269,,1000180
N1,link,,link_91,23.24536111,91.31105556,691,117.269,,1000181
N1,bridge,A,BALUZURI 2 CULVERT,23.24536111,91.31105556,423,117.627,,1000182
N1,link,,link_92,23.24177778,91.31238889,850,117.627,,1000183
N1,bridge,A,KALIR BAZAR BOX CULVERT,23.24177778,91.31238889,685,118.049,,1000184
N1,link,,link_93,23.23455556,91.31313889,566,118.049,,1000185
N1,bridge,B,KALIA BAZER BOC CULVERT,23.23455556,91.31313889,774,118.856,,1000186
N1,link,,link_94,23.23152778,91.31316667,273,118.856,,1000187
N1,bridge,B,CHAUDDAGARAM BOX CULVERT,23.23152778,91.31316667,187,119.19,,1000188
N1,link,,link_95,23.22758333,91.31336111,924,119.19,,1000189
N1,bridge,A,CHADDAGRAM BAZAR BOX CULVERT,23.22758333,91.31336111,490,119.628,,1000190
N1,link,,link_96,23.21858333,91.31433333,962,119.628,,1000191
N1,bridge,B,HAYDAR POLE BOX CULVERT,23.21858333,91.31433333,300,120.634,,1000192
N1,link,,link_97,23.21038889,91.31569444,657,120.634,,1000193
N1,bridge,A,FALGUNCORA CULVERT,23.21038889,91.31569444,1050,121.567,,1000194
N1,link,,link_98,23.20108333,91.31675,903,121.567,,1000195
N1,bridge,A,ATTOCK GRAM BOX CULVERT,23.20108333,91.31675,1421,122.603,,1000196
N1,link,,link_99,23.19211111,91.3185,660,122.603,,1000197
N1,bridge,C,BOSONTA PUR BOX CULVERT,23.19211111,91.3185,729,123.681,,1000198
N1,link,,link_100,23.18669444,91.32119444,1181,123.681,,1000199
N1,bridge,B,BASHONTA PUR (2),23.18669444,91.32119444,565,124.346,,1000200
N1,link,,link_101,23.17741667,91.31972222,499,124.346,,1000201
N1,bridge,B,NANKORA BOX CULVERT,23.17741667,91.31972222,986,125.41,,1000202
N1,link,,link_102,23.16819444,91.32141667,1298,125.41,,1000203
N1,bridge,A,ANDAJER BAZER BOX CULVERT,23.16819444,91.32141667,1632,126.448,,1000204
N1,link,,link_103,23.15725,91.32247222,330,126.448,,1000205
N1,bridge,B,DIMATOLI (1) BOX CULVERT,23.15725,91.32247222,1056,127.673,,1000206
N1,link,,link_104,23.14813889,91.32641667,310,127.673,,1000207
N1,bridge,B,DIMATOLY (2) BOX CULVERT,23.14813889,91.32641667,1649,128.767,,1000208
N1,link,,link_105,23.14344444,91.32666667,2327,128.767,,1000209
N1,bridge,B,JAGARNATHPUR BOX CULVERT,23.14344444,91.32666667,768,129.291,,1000210
N1,link,,link_106,23.13744444,91.32644444,406,129.291,,1000211
N1,bridge,B,JAGOT PUR BOX CULVERT,23.13744444,91.32644444,927,129.955,,1000212
N1,link,,link_107,23.12911111,91.32866667,791,129.955,,1000213
N1,bridge,A,HASO BOTHACH BOX CULVERT,23.12911111,91.32866667,1045,130.912,,1000214
N1,link,,link_108,23.12352778,91.33111111,10050,130.912,,1000215
N1,bridge,B,FOKIR BAZAR SLAB CULVERT,23.12352778,91.33111111,882,131.577,,1000216
N1,link,,link_109,23.11933333,91.33302778,1469,131.577,,1000217
N1,bridge,B,KAKKARA CULVERT,23.11933333,91.33302778,489,132.079,,1000218
N1,link,,link_110,23.11083333,91.33819444,119,132.079,,1000219
N1,bridge,A,Chanara Box Culvert,23.11083333,91.33819444,1045,133.155,,1000220
N1,link,,link_111,23.10452778,91.34141667,1617,133.155,,1000221
N1,bridge,B,CHANGARPULL(II) BOX CULVERT,23.10452778,91.34141667,862,133.873,,1000222
N1,link,,link_112,23.10066667,91.34369444,541,133.873,,1000223
N1,bridge,B,ADONCORA,23.10066667,91.34369444,308,134.426,,1000224
N1,link,,link_113,23.09627778,91.34611111,326,134.426,,1000225
N1,bridge,A,PODOYA BOX CULVERT,23.09627778,91.34611111,541,134.974,,1000226
N1,link,,link_114,23.09016667,91.34941667,304,134.974,,1000227
N1,bridge,B,FOEALTPARA BOX CULVERT,23.09016667,91.34941667,322,135.723,,1000228
N1,link,,link_115,23.08505556,91.35241667,440,135.723,,1000229
N1,bridge,A,UTTOR KAIEATI CULVERT,23.08505556,91.35241667,257,136.375,,1000230
N1,link,,link_116,23.08091667,91.35486111,968,136.375,,1000231
N1,bridge,B,KOKALI BOX CULVERT,23.08091667,91.35486111,1271,136.899,,1000232
N1,link,,link_117,23.07336111,91.35938889,556,136.899,,1000233
N1,bridge,B,DUTHOSHA BOX CULVERT,23.07336111,91.35938889,1172,137.856,,1000234
N1,link,,link_118,23.06380556,91.36161111,873,137.856,,1000235
N1,bridge,B,MOHAMMAD ALI MAZAR,23.06380556,91.36161111,512,138.953,,1000236
N1,link,,link_119,23.04233333,91.36544444,1050,138.953,,1000237
N1,bridge,A,FATAPUR BOX CULVERT,23.04233333,91.36544444,1855,141.531,,1000238
N1,link,,link_120,23.02955556,91.36558333,2321,141.531,,1000239
N1,bridge,A,DEBIPUR SLAB CULVERT,23.02955556,91.36558333,2253,142.793,,1000240
N1,link,,link_121,23.01425,91.37597222,1114,142.793,,1000241
N1,bridge,A,CHARIPUR CULVERT.,23.01425,91.37597222,941,144.939,,1000242
N1,link,,link_122,23.0095556,91.3813604,1394,144.939,,1000243
N1,intersection,,,23.0095556,91.3813604,1136,145.409,N104,1000244
N1,link,,link_123,23.003,91.38808333,245,145.409,,1000245
N1,bridge,A,RAMPUR BOX CULVERT,23.003,91.38808333,522,147.296,,1000246
N1,link,,link_124,22.99616667,91.40041667,269,147.296,,1000247
N1,bridge,A,RAMPUR BRIDGE,22.99616667,91.40041667,652,148.151,,1000248
N1,link,,link_125,22.99459361,91.40245391,1248,148.151,,1000249
N1,bridge,A,Rampur Bridge(R),22.99459361,91.40245391,466,148.174,,1000250
N1,link,,link_126,22.98069444,91.41716667,652,148.174,,1000251
N1,bridge,A,.,22.98069444,91.41716667,435,148.495,,1000252
N1,link,,link_127,22.9625,91.44166667,435,148.495,,1000253
N1,bridge,C,Lemua Bridge(L),22.9625,91.44166667,782,153.843,,1000254
N1,link,,link_128,22.94844444,91.47813889,1283,153.843,,1000255
N1,bridge,A,FAZAILPUR BOXCULVERT,22.94844444,91.47813889,338,158.031,,1000256
N1,link,,link_129,22.94972222,91.50083333,4018,158.031,,1000257
N1,bridge,B,Muhuri Bridge(L),22.94972222,91.50083333,2695,160.379,,1000258
N1,link,,link_130,22.91555556,91.52527778,1140,160.379,,1000259
N1,bridge,A,DumGhat Bridge(L),22.91555556,91.52527778,1446,165.183,,1000260
N1,link,,link_131,22.91036111,91.52855556,500,165.183,,1000261
N1,bridge,A,BUMGAT BOXCULVERT,22.91036111,91.52855556,298,165.825,,1000262
N1,link,,link_132,22.90502778,91.53122222,253,165.825,,1000263
N1,bridge,A,BOROYAR PARA SLUB CULVERT,22.90502778,91.53122222,513,166.479,,1000264
N1,link,,link_133,22.89227778,91.53530556,343,166.479,,1000265
N1,bridge,A,BAROYARHAT BOX CULVERT,22.89227778,91.53530556,842,167.963,,1000266
N1,link,,link_134,22.87519444,91.54066667,1560,167.963,,1000267
