road,type,condition,name,lat,lon,length
N1,Box Culvert,A,PURRANBUICHE BOX CULVERT,23.5524166666666,90.6636111111111,9.1
N1,Box Culvert,A,NOYAPARA,23.5523611111111,90.6636666666666,5.2
N1,PC Girder Bridge,A,Madhya Baushia Bridge(R),23.5473055555555,90.6694166666666,59.83
N1,PC Girder Bridge,A,Madhya Baushia Bridge(L),23.5473611111111,90.6695,72.49
N1,Box Culvert,C,BOCTAR KANDI BOX CULVERT,23.5442777777777,90.6730833333333,5.1
N1,Box Culvert,A,.,23.5342222222222,90.6843333333333,9.5
N1,RCC Girder Bridge,B,CHAR BOWSHIA BRIDGE(R),23.5360555555555,90.6821666666666,24.5
N1,PC Girder Bridge,B,BORAKANDI BRIDGE(L),23.5360833333333,90.6821944444444,24.5
N1,PC Girder Bridge,A,Baushia bazar Bridge ( R ),23.5313996605222,90.68744892596,25.45
N1,PC Girder Bridge,A,Baushia bazar Bridge( L ),23.529916,90.6952219,25.45
N1,Box Culvert,A,CHAR BOUSHEA (2),23.5340833333333,90.6841944444444,8.4
N1,PC Box,C,Daud Kandi Bridge,23.5298611111111,90.6951388888888,1408.8
N1,PC Box,A,Daudkandi Bridge.,23.5303844733,90.7024402743,1408.8
N1,RCC Girder Bridge,C,BALDHA KHAL RCC GIDER BRIDGE,23.5316388888888,90.7177777777777,21.8
N1,RCC Girder Bridge,C,Baldhakhal Bridge,23.522818601848,90.7242859256673,23.1
N1,Box Culvert,B,MAIS PARA BOX CULVERT,23.5334722222222,90.7227222222222,6.0
N1,RCC Girder Bridge,C,Shahid Nagor Bridge,23.5298050611,90.75825325,16.5
N1,RCC Girder Bridge,C,SHAHID NAGIR,23.5293055555555,90.7513333333333,16.5
N1,Box Culvert,C,SARKAR BARI CULVERT,23.5303888888888,90.7731111111111,3.9
N1,Slab Culvert,C,AMIRABATH SLAB CULVERT,23.53175,90.7895,6.5
N1,RCC Girder Bridge,A,Ginlatoly bridge,23.5318234765,90.8110155135,15.9
N1,RCC Bridge,C,Ginlatoly,23.5309444444444,90.8041944444444,15.9
N1,Box Culvert,A,RAIPUR BOX CULVERT,23.5347222222222,90.825,12.2
N1,Box Culvert,C,AITAL BANGA BOX CULVERT,23.5265,90.8391944444444,4.5
N1,RCC Girder Bridge,C,Illiot bazar Bridge,23.5133056,90.8703049,28.9
N1,RCC Girder Bridge,B,ILLIOT BAZER,23.5131944444444,90.8705833333333,28.9
N1,Box Culvert,B,KHAT GHOR BOX CULVERT,23.5055555555555,90.8986388888889,5.9
N1,Box Culvert,B,BAKRA BOX CULVERT,23.5059444444444,90.9152222222222,3.0
N1,Slab Culvert,B,MATIA BAZER,23.5038888888888,90.9371388888889,6.0
N1,Box Culvert,A,SONAPUR BOX CULVERT,23.5023888888888,90.9420277777777,3.0
N1,Slab Culvert,B,KARON KHAL SLAB CULVERT,23.4981111111111,90.9660833333333,4.6
N1,Box Culvert,A,MILL GHAT BOX CULVERT,23.4951944444444,90.983,4.5
N1,RCC Girder Bridge,C,Chandinan-Shahapara Bridge.,23.4891111111111,91.0120555555555,22.55
N1,RCC Girder Bridge,C,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,23.4890555555555,91.0120555555555,23.1
N1,Box Culvert,B,CORI PAI BOX CULVERT,23.4812777777777,91.0411388888888,4.6
N1,Box Culvert,B,COREPAI BOX CULVERT,23.4820833333333,91.0504444444444,4.6
N1,Slab Culvert,A,NIMSHAR SLAB CULVERT,23.4815277777777,91.0617777777777,1.5
N1,Slab Culvert,C,KABILA DUBARCHAR SLAB CULVERT,23.4770277777777,91.0792777777777,1.0
N1,Box Culvert,B,NAZIRA BOX CULVERT,23.4778611111111,91.1036666666666,3.0
N1,Box Culvert,A,TIPRA BAZAR BOX CULVERT,23.4788333333333,91.1177499999999,1.4
N1,Slab Culvert,A,AMTOLI SLAB CULVERT,23.4792777777777,91.1234999999999,2.9
N1,RCC Girder Bridge,A,DHANPUR RCC GIDER BRIDGE,23.4489444444444,91.14725,23.4
N1,RCC Girder Bridge,B,PADUAR BAZER RCCGIDER,23.4235833333333,91.1630555555555,35.9
N1,RCC Girder Bridge,C,Paduar Bazar Bridge,23.4212487704918,91.1678943372365,35.97
N1,RCC Girder Bridge,C,Mostapur Bridge,23.4131111111111,91.1846388888889,27.35
N1,RCC Girder Bridge,B,MOSTAPUR RCC GIDER BRIDGE,23.4131111111111,91.1846111111111,27.9
N1,RCC Girder Bridge,A,RAZAPARA RCC GIDER BRIDGE,23.4037777777777,91.2175833333333,27.9
N1,RCC Girder Bridge,A,SUAGAZI RCC GIDER BRIDGE,23.3784166666666,91.2398611111111,30.4
N1,RCC Girder Bridge,A,Suagazi Bridge.,23.3914441,91.2293049,30.48
N1,RCC Girder Bridge,C,LAL BAG RCC GIDER BRIDGE,23.3586666666666,91.2531666666666,22.8
N1,RCC Girder Bridge,C,Lalbag Bridge.,23.3683327,91.2471108,22.88
N1,Box Culvert,A,CHANSIRI BOXCUIVERT,23.3488055555555,91.2599166666666,14.3
N1,Box Culvert,A,MIABAZAR BOX CULVERT,23.336,91.2701111111111,24.0
N1,Box Culvert,A,NOYA BAZER BOX CULVERT,23.3241944444444,91.2790833333333,9.2
N1,Box Culvert,B,DOLL BARI CULVERT,23.3150277777777,91.2844722222222,19.2
N1,Slab Culvert,B,DHARMA PUR SLAB CULVERT,23.3104166666666,91.2861111111111,2.6
N1,Box Culvert,A,LALGORE BEZER CULVERT,23.3039166666666,91.2887777777777,3.2
N1,Box Culvert,A,SUPUYA BOX CULVERT,23.2960277777777,91.2915,13.4
N1,Box Culvert,B,BOWCHI BAZAR CULVERT,23.28775,91.2936111111111,4.6
N1,Box Culvert,B,AMAN GONG SLAB CULVERT,23.2788333333333,91.3003055555555,6.3
N1,Box Culvert,B,RANGAMATIA (1) BOX CULVERT,23.2677777777777,91.3054722222222,3.0
N1,Slab Culvert,B,RANGOWATIA 2 CULVERT,23.2655277777777,91.3064444444444,3.0
N1,Box Culvert,B,NOWA PARA BOX CULVERT,23.26375,91.3067222222222,3.6
N1,Box Culvert,B,HARISHARDE CULVERT,23.2588611111111,91.3074166666666,4.5
N1,Box Culvert,B,SONAGATI BOX CULVERT,23.2499444444444,91.3091666666666,2.5
N1,Box Culvert,B,BALUJURI BOX CULVERT,23.2483888888888,91.3098611111111,19.2
N1,Box Culvert,A,BALUZURI 2 CULVERT,23.2453611111111,91.3110555555555,2.6
N1,Box Culvert,A,KALIR BAZAR BOX CULVERT,23.2417777777777,91.3123888888888,2.5
N1,Box Culvert,B,KALIA BAZER BOC CULVERT,23.2345555555555,91.3131388888888,3.1
N1,Box Culvert,B,CHAUDDAGARAM BOX CULVERT,23.2315277777777,91.3131666666666,2.6
N1,Box Culvert,A,CHADDAGRAM BAZAR BOX CULVERT,23.2275833333333,91.3133611111111,6.0
N1,Box Culvert,B,HAYDAR POLE BOX CULVERT,23.2185833333333,91.3143333333333,14.3
N1,Box Culvert,A,FALGUNCORA CULVERT,23.2103888888888,91.3156944444444,6.1
N1,Box Culvert,A,ATTOCK GRAM BOX CULVERT,23.2010833333333,91.31675,6.1
N1,Box Culvert,C,BOSONTA PUR BOX CULVERT,23.1921111111111,91.3185,6.1
N1,Box Culvert,B,BASHONTA PUR (2),23.1866944444444,91.3211944444444,9.5
N1,Box Culvert,B,NANKORA BOX CULVERT,23.1774166666666,91.3197222222222,3.1
N1,Box Culvert,A,ANDAJER BAZER BOX CULVERT,23.1681944444444,91.3214166666666,9.5
N1,Box Culvert,B,DIMATOLI (1) BOX CULVERT,23.1572499999999,91.3224722222222,6.3
N1,Box Culvert,B,DIMATOLY (2) BOX CULVERT,23.1481388888888,91.3264166666666,3.5
N1,Box Culvert,B,JAGARNATHPUR BOX CULVERT,23.1434444444444,91.3266666666666,6.1
N1,Box Culvert,B,JAGOT PUR BOX CULVERT,23.1374444444444,91.3264444444444,3.0
N1,Box Culvert,A,HASO BOTHACH BOX CULVERT,23.1291111111111,91.3286666666666,6.5
N1,Slab Culvert,B,FOKIR BAZAR SLAB CULVERT,23.1235277777777,91.3311111111111,4.5
N1,Box Culvert,B,KAKKARA CULVERT,23.1193333333333,91.3330277777777,5.3
N1,Box Culvert,A,Chanara Box Culvert,23.1108333333333,91.3381944444444,6.1
N1,Box Culvert,B,CHANGARPULL(II) BOX CULVERT,23.1045277777777,91.3414166666666,3.1
N1,Box Culvert,B,ADONCORA,23.1006666666666,91.3436944444444,9.5
N1,Box Culvert,A,PODOYA BOX CULVERT,23.0962777777777,91.3461111111111,3.1
N1,Box Culvert,B,FOEALTPARA BOX CULVERT,23.0901666666666,91.3494166666666,9.25
N1,Box Culvert,A,UTTOR KAIEATI CULVERT,23.0850555555555,91.3524166666666,3.5
N1,Box Culvert,B,KOKALI BOX CULVERT,23.0809166666666,91.3548611111111,14.2
N1,Box Culvert,B,DUTHOSHA BOX CULVERT,23.0733611111111,91.3593888888888,6.1
N1,Box Culvert,B,MOHAMMAD ALI MAZAR,23.0638055555555,91.3616111111111,4.0
N1,Box Culvert,A,FATAPUR BOX CULVERT,23.0423333333333,91.3654444444444,10.8
N1,Slab Culvert,A,DEBIPUR SLAB CULVERT,23.0295555555555,91.3655833333333,1.6
N1,Box Culvert,A,CHARIPUR CULVERT.,23.01425,91.3759722222222,3.4
N1,Box Culvert,A,RAMPUR BOX CULVERT,23.003,91.3880833333333,1.5
N1,RCC Girder Bridge,B,Rampur Bridge(L),22.9947280792802,91.4022894900763,22.86
