Unnamed: 0,road,name,LRP Start,Offset Start,Chainage Start,LRP_end,Óffset_end,Chainage_end,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitude Decimal,road_number,EVV,Chainage,Chainag_end,Condition_A_Count,Condition_B_Count,Condition_C_Count,Condition_D_Count,Flood_Risk_A_Count,Flood_Risk_B_Count,Flood_Risk_C_Count,Flood_Risk_D_Count,Weighted_Sum
36,N1,Pennai Z1053- Gouripur (Int.with Z1044) ,LRP043,3119,45.388,LRP043,4955,47.224,1.836,353.5,4856.5,889.5,1632.0,599.0,697.0,397.5,1087.5,793.0,165.0,35.0,126.5,0.0,11470.5,161.5,11632.0,11632.0,LRP043,42.269,Km Post,Km post broken,23.529416,90.75175,N1,73466.5,45.388,47.224,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0
39,N1,Gouripur (Int.with Z1044) - Eliotganj Z1042 ,LRP043,4955,47.224,LRP043,13208,55.477,8.253,353.5,4856.5,889.5,1632.0,599.0,697.0,397.5,1087.5,793.0,165.0,35.0,126.5,0.0,11470.5,161.5,11632.0,11632.0,LRP043,42.269,Km Post,Km post broken,23.529416,90.75175,N1,73466.5,47.224,55.477,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,16.0
42,N1,Eliotganj Z1042- Madhaya Z1017 ,LRP043,13208,55.477,LRP043,20009,62.278,6.801,353.5,4856.5,889.5,1632.0,599.0,697.0,397.5,1087.5,793.0,165.0,35.0,126.5,0.0,11470.5,161.5,11632.0,11632.0,LRP043,42.269,Km Post,Km post broken,23.529416,90.75175,N1,73466.5,55.477,62.278,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,17.0
45,N1,Madhaya Z1017 - Chandina Z1022 ,LRP043,20009,62.278,LRP067,3912,69.638,7.36,353.5,4856.5,889.5,1632.0,599.0,697.0,397.5,1087.5,793.0,165.0,35.0,126.5,0.0,11470.5,161.5,11632.0,11632.0,LRP043,42.269,Km Post,Km post broken,23.529416,90.75175,N1,73466.5,62.278,69.638,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0
48,N1,Chandina Z1022 - Nimsar (Int.with Z1219 & Z1028) ,LRP067,3912,69.638,LRP076,1760,75.589,5.951,322.0,5429.0,721.5,1843.5,464.0,998.0,404.0,1128.5,1951.5,554.5,112.0,179.0,0.0,13816.5,291.0,14107.5,14107.5,LRP067,65.726,Km Post,Ctg 191 km,23.4972774,90.9674716,N1,81671.0,69.638,75.589,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,18.0
51,N1,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 ,LRP076,1760,75.589,LRP076,8017,81.846,6.257,322.0,5429.0,721.5,1843.5,464.0,998.0,404.0,1128.5,1951.5,554.5,112.0,179.0,0.0,13816.5,291.0,14107.5,14107.5,LRP076,73.829,Km Post,Ctg 184 km,23.4814716,91.0419719,N1,81671.0,75.589,81.846,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,12.0
54,N1,Mainamati N102- Int.with Z1029 ,LRP076,8017,81.846,LRP076,12068,85.897,4.051,322.0,5429.0,721.5,1843.5,464.0,998.0,404.0,1128.5,1951.5,554.5,112.0,179.0,0.0,13816.5,291.0,14107.5,14107.5,LRP076,73.829,Km Post,Ctg 184 km,23.4814716,91.0419719,N1,81671.0,81.846,85.897,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0
57,N1,Int.with Z1029 - Int.with Z1052 ,LRP076,12068,85.897,LRP076,13537,87.366,1.469,322.0,5429.0,721.5,1843.5,464.0,998.0,404.0,1128.5,1951.5,554.5,112.0,179.0,0.0,13816.5,291.0,14107.5,14107.5,LRP076,73.829,Km Post,Ctg 184 km,23.4814716,91.0419719,N1,81671.0,85.897,87.366,,,,,,,,,
60,N1,Int.with Z1052 - Changani (Kotbari) ,LRP076,13537,87.366,LRP091,897,89.41,2.044,307.5,5661.5,809.0,1331.0,314.0,519.0,269.5,778.5,1420.5,377.0,68.0,143.5,0.0,11787.5,211.5,11999.0,11999.0,LRP076,73.829,Km Post,Ctg 184 km,23.4814716,91.0419719,N1,74365.5,87.366,89.41,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0
63,N1,Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 ,LRP091,897,89.41,LRP093,1090,91.583,2.173,307.5,5661.5,809.0,1331.0,314.0,519.0,269.5,778.5,1420.5,377.0,68.0,143.5,0.0,11787.5,211.5,11999.0,11999.0,LRP091,88.513,Km Post,Ctg 170 km,23.4373886,91.1521944,N1,74365.5,89.41,91.583,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0
