,road,name,LRP Start,Offset Start,Chainage Start,LRP_end,Óffset_end,Chainage_end,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitude Decimal,road_number,EVV
60,N1,Fouzderhat Z1016 - Alonker Cinema Hall (Chittagong),LRP225,6400,228.406,LRP225,10748,232.754,4.348,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0,9550.0,LRP225,222.006,Km Post,Info.Missing,22.4518611,91.4666111,N1,39422.5
63,N1,Chittagong (Badderhat)-Maizzertek int with Z1804,LRP225,10748,232.754,LRP251,496,247.893,15.139,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0,9550.0,LRP225,222.006,Km Post,Info.Missing,22.4518611,91.4666111,N1,39422.5
66,N1,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left),LRP022,1935,23.564,LRP031,162,30.936,7.372,299.5,5156.5,1060.5,1710.0,705.0,1655.0,399.5,2049.0,1242.0,212.0,34.0,163.5,0.0,14489.0,197.5,14686.5,14686.5,LRP022,21.629,Km Post,"Ctg 238 km,Comilla 71 km",23.6252216,90.6049722,N1,86367.5
69,N1,Maizzertek Int with Z1804-Sikolbaha Int with Z1018,LRP251,496,247.893,LRP251,3048,250.445,2.552,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0,9550.0,LRP251,247.397,Km Post,"Cox,s Bazar 143 km,Patiya 16 km",22.3148889,91.8553889,N1,39422.5
72,N1,Sikolbaha Int with Z1018-Santirhat Int. with Z1071,LRP251,3048,250.445,LRP251,5559,252.956,2.511,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0,9550.0,LRP251,247.397,Km Post,"Cox,s Bazar 143 km,Patiya 16 km",22.3148889,91.8553889,N1,39422.5
75,N1,Santirhat Int. with Z1071 - Int. with Z1070,LRP251,5559,252.956,LRP259,726,255.725,2.769,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0,9550.0,LRP251,247.397,Km Post,"Cox,s Bazar 143 km,Patiya 16 km",22.3148889,91.8553889,N1,39422.5
78,N1,Int. with Z1070 - Mansertek(Int.with N107),LRP259,726,255.725,LRP259,1810,256.809,1.084,30.0,1077.0,795.0,994.0,658.0,1483.0,305.0,658.0,3125.0,536.0,207.0,240.0,7.0,9661.0,454.0,10115.0,10115.0,LRP259,254.999,Km Post,"Cox,s Bazar 135 km,Patiya 10 km",22.3053611,91.9106389,N1,42827.5
81,N1,Mansertek(Int.with N107)- Patiya (Int.with Z1059),LRP259,1810,256.809,LRP264,3734,263.744,6.935,30.0,1077.0,795.0,994.0,658.0,1483.0,305.0,658.0,3125.0,536.0,207.0,240.0,7.0,9661.0,454.0,10115.0,10115.0,LRP259,254.999,Km Post,"Cox,s Bazar 135 km,Patiya 10 km",22.3053611,91.9106389,N1,42827.5
84,N1,Patiya (Int.with Z1059) - Patiya Dakbanglo (Int.with Z1057),LRP264,3734,263.744,LRP264,4060,264.07,0.326,24.0,1181.0,882.0,802.0,639.0,1307.0,196.0,840.0,4070.0,910.0,819.0,3156.0,0.0,10851.0,3975.0,14826.0,14826.0,LRP264,260.01,Km Post,Info.Missing,22.3067222,91.9491941,N1,47568.5
87,N1,Patiya Dakbanglo (Int.with Z1057) - Patiya (Int.with Z1039),LRP264,4060,264.07,LRP264,5400,265.41,1.34,24.0,1181.0,882.0,802.0,639.0,1307.0,196.0,840.0,4070.0,910.0,819.0,3156.0,0.0,10851.0,3975.0,14826.0,14826.0,LRP264,260.01,Km Post,Info.Missing,22.3067222,91.9491941,N1,47568.5
90,N1,Patiya (Int.with Z1039)-Khanhat Int.with Z1026,LRP264,5400,265.41,LRP277,1763,274.982,9.572,24.0,1181.0,882.0,802.0,639.0,1307.0,196.0,840.0,4070.0,910.0,819.0,3156.0,0.0,10851.0,3975.0,14826.0,14826.0,LRP264,260.01,Km Post,Info.Missing,22.3067222,91.9491941,N1,47568.5
93,N1,Khanhat Int.with Z1026 - Hashimpur Z1036,LRP277,1763,274.982,LRP281,700,278.013,3.031,23.0,786.0,1237.0,944.0,92.0,1267.0,109.0,811.0,6505.0,905.0,220.0,843.0,0.0,12679.0,1063.0,13742.0,13742.0,LRP277,273.219,Km Post,Info.Missing,22.227916,92.0258882,N1,46300.0
96,N1,Hashimpur Z1036- Keranirhat N108,LRP281,700,278.013,LRP291,2558,289.612,11.599,23.0,786.0,1237.0,944.0,92.0,1267.0,109.0,811.0,6505.0,905.0,220.0,843.0,0.0,12679.0,1063.0,13742.0,13742.0,LRP281,277.313,Km Post,Info.Missing,22.1977774,92.0433886,N1,46300.0
99,N1,Keranirhat N108 - Int.with Z1019,LRP291,2558,289.612,LRP291,2920,289.974,0.362,23.0,786.0,1237.0,944.0,92.0,1267.0,109.0,811.0,6505.0,905.0,220.0,843.0,0.0,12679.0,1063.0,13742.0,13742.0,LRP291,287.054,Km Post,Info.Missing,22.1240271,92.0715827,N1,46300.0
102,N1,"Int.with Z1019 - Lohagara, Bara Aulia (Int.with Z1013)",LRP291,2920,289.974,LRP299,2769,297.441,7.467,23.0,786.0,1237.0,944.0,92.0,1267.0,109.0,811.0,6505.0,905.0,220.0,843.0,0.0,12679.0,1063.0,13742.0,13742.0,LRP291,287.054,Km Post,Info.Missing,22.1240271,92.0715827,N1,46300.0
105,N1,"Lohagara, Bara Aulia (Int.with Z1013) - Chunati R171",LRP299,2769,297.441,LRP312,171,307.582,10.141,42.0,2364.0,1215.0,1015.0,787.0,2025.0,345.0,1013.0,1668.0,779.0,642.0,728.0,0.0,11253.0,1370.0,12623.0,12623.0,LRP299,294.672,Km Post,"Cox,s Bazar 100 km,Pasra 2 km",22.0686938,92.10525,N1,59027.0
108,N1,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left),LRP031,162,30.936,LRP033,3664,36.271,5.335,299.5,5156.5,1060.5,1710.0,705.0,1655.0,399.5,2049.0,1242.0,212.0,34.0,163.5,0.0,14489.0,197.5,14686.5,14686.5,LRP031,30.774,Km Post,"Ctg 229 km,Comilla 62 km",23.5599722,90.6548056,N1,86367.5
111,N1,Chunati R171 - Aziznagar Z1007,LRP312,171,307.582,LRP320,308,315.728,8.146,42.0,2364.0,1215.0,1015.0,787.0,2025.0,345.0,1013.0,1668.0,779.0,642.0,728.0,0.0,11253.0,1370.0,12623.0,12623.0,LRP312,307.411,Km Post,"Cox,s Bazar 83 km,Chokaria 25 km",21.9729438,92.0670827,N1,59027.0
114,N1,Aziznagar (Int.with Z1007)-Harbang (Int.with Z1124),LRP320,308,315.728,LRP321,63,316.356,0.628,42.0,2364.0,1215.0,1015.0,787.0,2025.0,345.0,1013.0,1668.0,779.0,642.0,728.0,0.0,11253.0,1370.0,12623.0,12623.0,LRP320,315.42,Km Post,"Cox,s Bazar 75 km",21.9059444,92.0609167,N1,59027.0
117,N1,Harbang (Int.with Z1124) - Ekatabazar Z1125,LRP321,63,316.356,LRP328,485,323.842,7.486,42.0,2364.0,1215.0,1015.0,787.0,2025.0,345.0,1013.0,1668.0,779.0,642.0,728.0,0.0,11253.0,1370.0,12623.0,12623.0,LRP321,316.293,Km Post,"Cox,s Bazar 74 km",21.8969997,92.0612222,N1,59027.0
120,N1,Ekatabazar Z1125 - Baraitali Int.with Z1002,LRP328,485,323.842,LRP331,844,327.188,3.346,44.0,774.0,249.0,749.0,144.0,1058.0,202.0,661.0,1133.0,552.0,233.0,267.0,0.0,5566.0,500.0,6066.0,6066.0,LRP328,323.357,Km Post,"Cox,s Bazar 67 km",21.8363052,92.067416,N1,25562.5
123,N1,Baraitali Int.with Z1002-Int.with Z1126,LRP331,844,327.188,LRP335,500,330.874,3.686,44.0,774.0,249.0,749.0,144.0,1058.0,202.0,661.0,1133.0,552.0,233.0,267.0,0.0,5566.0,500.0,6066.0,6066.0,LRP331,326.344,Km Post,Cox.s Bazar 64 km,21.8119444,92.0776382,N1,25562.5
126,N1,Int.with Z1126-Janatabazar (Int.with Z1127),LRP335,500,330.874,LRP336,764,332.066,1.192,44.0,774.0,249.0,749.0,144.0,1058.0,202.0,661.0,1133.0,552.0,233.0,267.0,0.0,5566.0,500.0,6066.0,6066.0,LRP335,330.374,Km Post,"Cox,s Bazar 60 km",21.7782493,92.0840552,N1,25562.5
129,N1,Janatabazar (Int.with Z1127) - Chokoria R172,LRP336,764,332.066,LRP336,1575,332.877,0.811,44.0,774.0,249.0,749.0,144.0,1058.0,202.0,661.0,1133.0,552.0,233.0,267.0,0.0,5566.0,500.0,6066.0,6066.0,LRP336,331.302,Km Post,"Cox,s Bazar 59 km",21.7713049,92.0818327,N1,25562.5
132,N1,Chokoria R172 - Faishakhali Z1005,LRP336,1575,332.877,LRP341,852,337.31,4.433,39.0,1009.0,549.0,784.0,238.0,1018.0,165.0,318.0,2511.0,1443.0,428.0,4183.0,0.0,8074.0,4611.0,12685.0,12685.0,LRP336,331.302,Km Post,"Cox,s Bazar 59 km",21.7713049,92.0818327,N1,36622.0
135,N1,Faishakhali Z1005- Dulahazra Z1130,LRP341,852,337.31,LRP348,96,343.559,6.249,35.0,595.0,159.0,412.0,136.0,760.0,118.0,109.0,1548.0,403.0,118.0,450.0,0.0,4275.0,568.0,4843.0,4843.0,LRP341,336.458,Km Post,"Cox,s Bazar 54 km",21.7290271,92.0838608,N1,18412.0
138,N1,Dulahazra Z1130-Khutakhali Z1131,LRP348,96,343.559,LRP354,509,350.054,6.495,35.0,595.0,159.0,412.0,136.0,760.0,118.0,109.0,1548.0,403.0,118.0,450.0,0.0,4275.0,568.0,4843.0,4843.0,LRP348,343.463,Km Post,"Cox,s Bazar 47 km",21.6695549,92.0760549,N1,18412.0
141,N1,Khutakhali Z1131 - Ramu (Int.with Z1001),LRP354,509,350.054,LRP376,57,370.982,20.928,35.0,595.0,159.0,412.0,136.0,760.0,118.0,109.0,1548.0,403.0,118.0,450.0,0.0,4275.0,568.0,4843.0,4843.0,LRP354,349.545,Km Post,Cox's Bazar 41km,21.6197771,92.0705271,N1,18412.0
144,N1,Daudkandi Bridge- Daudkandi Z1062 (Left),LRP033,3664,36.271,LRP033,5859,38.466,2.195,299.5,5156.5,1060.5,1710.0,705.0,1655.0,399.5,2049.0,1242.0,212.0,34.0,163.5,0.0,14489.0,197.5,14686.5,14686.5,LRP033,32.607,Km Post,"Ctg 227 km,Comilla 60 km",23.5487497,90.6678327,N1,86367.5
147,N1,Daudkandi Z1062 - Pennai Z1053 (Left),LRP033,5859,38.466,LRP043,3119,45.388,6.922,353.5,4856.5,889.5,1632.0,599.0,697.0,397.5,1087.5,793.0,165.0,35.0,126.5,0.0,11470.5,161.5,11632.0,11632.0,LRP033,32.607,Km Post,"Ctg 227 km,Comilla 60 km",23.5487497,90.6678327,N1,73466.5
150,N1,Ramu (Int.with Z1001)-Ramu Intersection N109,LRP376,57,370.982,LRP378,593,373.475,2.493,35.0,595.0,159.0,412.0,136.0,760.0,118.0,109.0,1548.0,403.0,118.0,450.0,0.0,4275.0,568.0,4843.0,4843.0,LRP376,370.925,Km Post,"Cox,s Bazar 19 km",21.4496108,92.0994997,N1,18412.0
153,N1,Ramu Intersection N109 - Coxsbazar Link Road N110,LRP378,593,373.475,LRP386,724,381.481,8.006,35.0,595.0,159.0,412.0,136.0,760.0,118.0,109.0,1548.0,403.0,118.0,450.0,0.0,4275.0,568.0,4843.0,4843.0,LRP378,372.882,Km Post,"Cox,s Bazar 17 km",21.4334441,92.0969997,N1,18412.0
156,N1,Coxsbazar Link Road N110-Maricha Z1009,LRP386,724,381.481,LRP403,217,398.205,16.724,24.0,455.0,137.0,129.0,200.0,568.0,131.0,142.0,2476.0,419.0,97.0,1042.0,0.0,4681.0,1139.0,5820.0,5820.0,LRP386,380.757,Km Post,"Cox,s Bazar 9 km",21.430166,92.0283604,N1,17062.5
159,N1,Maricha Z1009-Ukhia Dakbanglo Z1503,LRP403,217,398.205,LRP413,300,408.434,10.229,24.0,455.0,137.0,129.0,200.0,568.0,131.0,142.0,2476.0,419.0,97.0,1042.0,0.0,4681.0,1139.0,5820.0,5820.0,LRP403,397.988,Km Post,Km post broken,21.3187493,92.0916108,N1,17062.5
162,N1,Ukhia Dakbanglo Z1503 - Gundum Z1504,LRP413,300,408.434,LRP420,900,416.044,7.61,24.0,455.0,137.0,129.0,200.0,568.0,131.0,142.0,2476.0,419.0,97.0,1042.0,0.0,4681.0,1139.0,5820.0,5820.0,LRP413,408.134,Km Post,Teknaf 54 km,21.2462219,92.1364719,N1,17062.5
165,N1,GundumGundum Z1504 - Whykong Z1133,LRP420,900,416.044,LRP433,521,428.908,12.864,24.0,455.0,137.0,129.0,200.0,568.0,131.0,142.0,2476.0,419.0,97.0,1042.0,0.0,4681.0,1139.0,5820.0,5820.0,LRP420,415.144,Km Post,Teknaf 46 km,21.2056389,92.1703327,N1,17062.5
168,N1,Whykong Z1133 - Teknaf,LRP433,521,428.908,LRP467,130,462.254,33.346,24.0,455.0,137.0,129.0,200.0,568.0,131.0,142.0,2476.0,419.0,97.0,1042.0,0.0,4681.0,1139.0,5820.0,5820.0,LRP433,428.387,Km Post,Info.Missing,21.1198604,92.1954719,N1,17062.5
171,N1,Pennai Z1053- Gouripur (Int.with Z1044) (Left),LRP043,3119,45.388,LRP043,4955,47.224,1.836,353.5,4856.5,889.5,1632.0,599.0,697.0,397.5,1087.5,793.0,165.0,35.0,126.5,0.0,11470.5,161.5,11632.0,11632.0,LRP043,42.269,Km Post,Km post broken,23.529416,90.75175,N1,73466.5
174,N1,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Left),LRP043,4955,47.224,LRP043,13208,55.477,8.253,353.5,4856.5,889.5,1632.0,599.0,697.0,397.5,1087.5,793.0,165.0,35.0,126.5,0.0,11470.5,161.5,11632.0,11632.0,LRP043,42.269,Km Post,Km post broken,23.529416,90.75175,N1,73466.5
177,N1,Eliotganj Z1042- Madhaya Z1017 (Left),LRP043,13208,55.477,LRP043,20009,62.278,6.801,353.5,4856.5,889.5,1632.0,599.0,697.0,397.5,1087.5,793.0,165.0,35.0,126.5,0.0,11470.5,161.5,11632.0,11632.0,LRP043,42.269,Km Post,Km post broken,23.529416,90.75175,N1,73466.5
180,N1,Madhaya Z1017 - Chandina Z1022 (Left),LRP043,20009,62.278,LRP067,3912,69.638,7.36,353.5,4856.5,889.5,1632.0,599.0,697.0,397.5,1087.5,793.0,165.0,35.0,126.5,0.0,11470.5,161.5,11632.0,11632.0,LRP043,42.269,Km Post,Km post broken,23.529416,90.75175,N1,73466.5
183,N1,Chandina Z1022 - Nimsar (Int.with Z1219 & Z1028) (Left),LRP067,3912,69.638,LRP076,1760,75.589,5.951,322.0,5429.0,721.5,1843.5,464.0,998.0,404.0,1128.5,1951.5,554.5,112.0,179.0,0.0,13816.5,291.0,14107.5,14107.5,LRP067,65.726,Km Post,Ctg 191 km,23.4972774,90.9674716,N1,81671.0
186,N1,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Left),LRP076,1760,75.589,LRP076,8017,81.846,6.257,322.0,5429.0,721.5,1843.5,464.0,998.0,404.0,1128.5,1951.5,554.5,112.0,179.0,0.0,13816.5,291.0,14107.5,14107.5,LRP076,73.829,Km Post,Ctg 184 km,23.4814716,91.0419719,N1,81671.0
189,N1,Mainamati N102- Int.with Z1029 (Left),LRP076,8017,81.846,LRP076,12068,85.897,4.051,322.0,5429.0,721.5,1843.5,464.0,998.0,404.0,1128.5,1951.5,554.5,112.0,179.0,0.0,13816.5,291.0,14107.5,14107.5,LRP076,73.829,Km Post,Ctg 184 km,23.4814716,91.0419719,N1,81671.0
192,N1,Int.with Z1029 - Int.with Z1052 (Left),LRP076,12068,85.897,LRP076,13537,87.366,1.469,322.0,5429.0,721.5,1843.5,464.0,998.0,404.0,1128.5,1951.5,554.5,112.0,179.0,0.0,13816.5,291.0,14107.5,14107.5,LRP076,73.829,Km Post,Ctg 184 km,23.4814716,91.0419719,N1,81671.0
195,N1,Int.with Z1052 - Changani (Kotbari) (Left),LRP076,13537,87.366,LRP091,897,89.41,2.044,307.5,5661.5,809.0,1331.0,314.0,519.0,269.5,778.5,1420.5,377.0,68.0,143.5,0.0,11787.5,211.5,11999.0,11999.0,LRP076,73.829,Km Post,Ctg 184 km,23.4814716,91.0419719,N1,74365.5
198,N1,Katchpur - Madanpur (Left)N105 (Left),LRP009,260,8.763,LRP012,439,11.936,3.173,163.5,4692.0,3349.5,3088.0,2599.5,2269.0,297.0,1842.0,3117.0,1148.5,364.0,1304.0,0.0,22566.0,1668.0,24234.0,24234.0,LRP009,8.503,Km Post,"Chittagong 251 km,Comilla 84 km",23.7050278,90.5193327,N1,126461.0
201,N1,Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Left),LRP091,897,89.41,LRP093,1090,91.583,2.173,307.5,5661.5,809.0,1331.0,314.0,519.0,269.5,778.5,1420.5,377.0,68.0,143.5,0.0,11787.5,211.5,11999.0,11999.0,LRP091,88.513,Km Post,Ctg 170 km,23.4373886,91.1521944,N1,74365.5
204,N1,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Left),LRP093,1090,91.583,LRP105,3631,105.879,14.296,307.5,5661.5,809.0,1331.0,314.0,519.0,269.5,778.5,1420.5,377.0,68.0,143.5,0.0,11787.5,211.5,11999.0,11999.0,LRP093,90.493,Km Post,Ctg 168 km,23.4236938,91.1626944,N1,74365.5
207,N101,Comilla (Balutopa)- Bibirbazar Land Port,LRPS,0,0.0,LRPE,0,6.021,6.021,231.0,1170.0,336.0,285.0,197.0,224.0,421.0,164.0,5450.0,621.0,196.0,413.0,0.0,9099.0,609.0,9708.0,9708.0,LRPS,0,Others,Start of Road from N120 at Balutopa,23.4541389,91.2128611,N101,32106.0
210,N102,Mainamati-Kangsanagar (Intersection with Z1219),LRPS,0,0.0,LRP009,1110,10.206,10.206,231.0,1170.0,336.0,285.0,197.0,224.0,421.0,164.0,5450.0,621.0,196.0,413.0,0.0,9099.0,609.0,9708.0,9708.0,LRPS,0,Others,Start of road from N1 Mainamati,23.4789716,91.1181938,N102,32106.0
213,N102,Kangsanagar (Int with Z1219)-Debidduar (Int with Z1008),LRP009,1110,10.206,LRP018,2570,20.658,10.452,231.0,1170.0,336.0,285.0,197.0,224.0,421.0,164.0,5450.0,621.0,196.0,413.0,0.0,9099.0,609.0,9708.0,9708.0,LRP009,9.05,Km Post,B Baria 63 km Sylhet 241 km,23.5457774,91.0706104,N102,32106.0
216,N102,Debiduar (Int with Z1008)- Companiganj (Int with Z1205),LRP018,2570,20.658,LRP024,1242,25.473,4.815,231.0,1170.0,336.0,285.0,197.0,224.0,421.0,164.0,5450.0,621.0,196.0,413.0,0.0,9099.0,609.0,9708.0,9708.0,LRP018,18.01,Km Post,B Baria 54 km Sylhet 232 km,23.5902219,91.01,N102,32106.0
