Seed,Average_Time,Average_Delay
1,14.0,
2,76.7343613106711,128.43409471016955
3,21.229068755439513,14.976572824389137
4,14.0,
5,21.013746302418653,14.96722230949633
6,47.60020968023764,67.46386739058326
7,141.93268379096546,155.11861295026293
8,14.0,
9,46.837932238910234,67.3309522404727
10,14.0,
