Unique_ID,Time_In_Model,Seed
Truck43200,366,1
Truck43201,366,1
Truck43202,366,1
Truck43203,366,1
Truck43204,366,1
Truck43205,366,1
Truck43206,366,1
Truck43207,366,1
Truck43208,366,1
Truck43209,366,1
Truck43210,366,1
Truck43211,366,1
Truck43212,366,1
Truck43213,366,1
Truck43214,366,1
Truck43215,366,1
Truck43216,366,1
Truck43217,366,1
Truck43218,366,1
Truck43219,366,1
Truck43220,366,1
Truck43221,366,1
Truck43222,366,1
Truck43223,366,1
Truck43224,366,1
Truck43225,366,1
Truck43226,366,1
Truck43227,366,1
Truck43228,366,1
Truck43229,366,1
Truck43230,366,1
Truck43231,366,1
Truck43232,366,1
Truck43233,366,1
Truck43234,366,1
Truck43235,366,1
Truck43236,366,1
Truck43237,366,1
Truck43238,366,1
Truck43239,366,1
Truck43240,366,1
Truck43241,366,1
Truck43242,366,1
Truck43243,366,1
Truck43244,366,1
Truck43245,366,1
Truck43246,366,1
Truck43247,366,1
Truck43248,366,1
Truck43249,366,1
Truck43250,366,1
Truck43251,366,1
Truck43252,366,1
Truck43253,366,1
Truck43254,366,1
Truck43255,366,1
Truck43256,366,1
Truck43257,366,1
Truck43258,366,1
Truck43259,366,1
Truck43260,366,1
Truck43261,366,1
Truck43262,366,1
Truck43263,366,1
Truck43264,366,1
Truck43265,366,1
Truck43266,366,1
Truck43267,366,1
Truck43268,366,1
Truck43269,366,1
Truck43270,366,1
Truck43271,366,1
Truck43272,366,1
Truck43273,366,1
Truck43274,366,1
Truck43275,366,1
Truck43276,366,1
Truck43277,366,1
Truck43278,366,1
Truck43279,366,1
Truck43280,366,1
Truck43281,366,1
Truck43282,366,1
Truck43283,366,1
Truck43284,366,1
Truck43285,366,1
Truck43286,366,1
Truck43287,366,1
Truck43288,366,1
Truck43289,366,1
Truck43290,366,1
Truck43291,366,1
Truck43292,366,1
Truck43293,366,1
Truck43294,366,1
Truck43295,366,1
Truck43296,366,1
Truck43297,366,1
Truck43298,366,1
Truck43299,366,1
Truck43300,366,1
Truck43301,366,1
Truck43302,366,1
Truck43303,366,1
Truck43304,366,1
Truck43305,366,1
Truck43306,366,1
Truck43307,366,1
Truck43308,366,1
Truck43309,366,1
Truck43310,366,1
Truck43311,366,1
Truck43312,366,1
Truck43313,366,1
Truck43314,366,1
Truck43315,366,1
Truck43316,366,1
Truck43317,366,1
Truck43318,366,1
Truck43319,366,1
Truck43320,366,1
Truck43321,366,1
Truck43322,366,1
Truck43323,366,1
Truck43324,366,1
Truck43325,366,1
Truck43326,366,1
Truck43327,366,1
Truck43328,366,1
Truck43329,366,1
Truck43330,366,1
Truck43331,366,1
Truck43332,366,1
Truck43333,366,1
Truck43334,366,1
Truck43335,366,1
Truck43336,366,1
Truck43337,366,1
Truck43338,366,1
Truck43339,366,1
Truck43340,366,1
Truck43341,366,1
Truck43342,366,1
Truck43343,366,1
Truck43344,366,1
Truck43345,366,1
Truck43346,366,1
Truck43347,366,1
Truck43348,366,1
Truck43349,366,1
Truck43350,366,1
Truck43351,366,1
Truck43352,366,1
Truck43353,366,1
Truck43354,366,1
Truck43355,366,1
Truck43356,366,1
Truck43357,366,1
Truck43358,366,1
Truck43359,366,1
Truck43360,366,1
Truck43361,366,1
Truck43362,366,1
Truck43363,366,1
Truck43364,366,1
Truck43365,366,1
Truck43366,366,1
Truck43367,366,1
Truck43368,366,1
Truck43369,366,1
Truck43370,366,1
Truck43371,366,1
Truck43372,366,1
Truck43373,366,1
Truck43374,366,1
Truck43375,366,1
Truck43376,366,1
Truck43377,366,1
Truck43378,366,1
Truck43379,366,1
Truck43380,366,1
Truck43381,366,1
Truck43382,366,1
Truck43383,366,1
Truck43384,366,1
Truck43385,366,1
Truck43386,366,1
Truck43387,366,1
Truck43388,366,1
Truck43389,366,1
Truck43390,366,1
Truck43391,366,1
Truck43392,366,1
Truck43393,366,1
Truck43394,366,1
Truck43395,366,1
Truck43396,366,1
Truck43397,366,1
Truck43398,366,1
Truck43399,366,1
Truck43400,366,1
Truck43401,366,1
Truck43402,366,1
Truck43403,366,1
Truck43404,366,1
Truck43405,366,1
Truck43406,366,1
Truck43407,366,1
Truck43408,366,1
Truck43409,366,1
Truck43410,366,1
Truck43411,366,1
Truck43412,366,1
Truck43413,366,1
Truck43414,366,1
Truck43415,366,1
Truck43416,366,1
Truck43417,366,1
Truck43418,366,1
Truck43419,366,1
Truck43420,366,1
Truck43421,366,1
Truck43422,366,1
Truck43423,366,1
Truck43424,366,1
Truck43425,366,1
Truck43426,366,1
Truck43427,366,1
Truck43428,366,1
Truck43429,366,1
Truck43430,366,1
Truck43431,366,1
Truck43432,366,1
Truck43433,366,1
Truck43434,366,1
Truck43435,366,1
Truck43436,366,1
Truck43437,366,1
Truck43438,366,1
Truck43439,366,1
Truck43440,366,1
Truck43441,366,1
Truck43442,366,1
Truck43443,366,1
Truck43444,366,1
Truck43445,366,1
Truck43446,366,1
Truck43447,366,1
Truck43448,366,1
Truck43449,366,1
Truck43450,366,1
Truck43451,366,1
Truck43452,366,1
Truck43453,366,1
Truck43454,366,1
Truck43455,366,1
Truck43456,366,1
Truck43457,366,1
Truck43458,366,1
Truck43459,366,1
Truck43460,366,1
Truck43461,366,1
Truck43462,366,1
Truck43463,366,1
Truck43464,366,1
Truck43465,366,1
Truck43466,366,1
Truck43467,366,1
Truck43468,366,1
Truck43469,366,1
Truck43470,366,1
Truck43471,366,1
Truck43472,366,1
Truck43473,366,1
Truck43474,366,1
Truck43475,366,1
Truck43476,366,1
Truck43477,366,1
Truck43478,366,1
Truck43479,366,1
Truck43480,366,1
Truck43481,366,1
Truck43482,366,1
Truck43483,366,1
Truck43484,366,1
Truck43485,366,1
Truck43486,366,1
Truck43487,366,1
Truck43488,366,1
Truck43489,366,1
Truck43490,366,1
Truck43491,366,1
Truck43492,366,1
Truck43493,366,1
Truck43494,366,1
Truck43495,366,1
Truck43496,366,1
Truck43497,366,1
Truck43498,366,1
Truck43499,366,1
Truck43500,366,1
Truck43501,366,1
Truck43502,366,1
Truck43503,366,1
Truck43504,366,1
Truck43505,366,1
Truck43506,366,1
Truck43507,366,1
Truck43508,366,1
Truck43509,366,1
Truck43510,366,1
Truck43511,366,1
Truck43512,366,1
Truck43513,366,1
Truck43514,366,1
Truck43515,366,1
Truck43516,366,1
Truck43517,366,1
Truck43518,366,1
Truck43519,366,1
Truck43520,366,1
Truck43521,366,1
Truck43522,366,1
Truck43523,366,1
Truck43524,366,1
Truck43525,366,1
Truck43526,366,1
Truck43527,366,1
Truck43528,366,1
Truck43529,366,1
Truck43530,366,1
Truck43531,366,1
Truck43532,366,1
Truck43533,366,1
Truck43534,366,1
Truck43535,366,1
Truck43536,366,1
Truck43537,366,1
Truck43538,366,1
Truck43539,366,1
Truck43540,366,1
Truck43541,366,1
Truck43542,366,1
Truck43543,366,1
Truck43544,366,1
Truck43545,366,1
Truck43546,366,1
Truck43547,366,1
Truck43548,366,1
Truck43549,366,1
Truck43550,366,1
Truck43551,366,1
Truck43552,366,1
Truck43553,366,1
Truck43554,366,1
Truck43555,366,1
Truck43556,366,1
Truck43557,366,1
Truck43558,366,1
Truck43559,366,1
Truck43560,366,1
Truck43561,366,1
Truck43562,366,1
Truck43563,366,1
Truck43564,366,1
Truck43565,366,1
Truck43566,366,1
Truck43567,366,1
Truck43568,366,1
Truck43569,366,1
Truck43570,366,1
Truck43571,366,1
Truck43572,366,1
Truck43573,366,1
Truck43574,366,1
Truck43575,366,1
Truck43576,366,1
Truck43577,366,1
Truck43578,366,1
Truck43579,366,1
Truck43580,366,1
Truck43581,366,1
Truck43582,366,1
Truck43583,366,1
Truck43584,366,1
Truck43585,366,1
Truck43586,366,1
Truck43587,366,1
Truck43588,366,1
Truck43589,366,1
Truck43590,366,1
Truck43591,366,1
Truck43592,366,1
Truck43593,366,1
Truck43594,366,1
Truck43595,366,1
Truck43596,366,1
Truck43597,366,1
Truck43598,366,1
Truck43599,366,1
Truck43600,366,1
Truck43601,366,1
Truck43602,366,1
Truck43603,366,1
Truck43604,366,1
Truck43605,366,1
Truck43606,366,1
Truck43607,366,1
Truck43608,366,1
Truck43609,366,1
Truck43610,366,1
Truck43611,366,1
Truck43612,366,1
Truck43613,366,1
Truck43614,366,1
Truck43615,366,1
Truck43616,366,1
Truck43617,366,1
Truck43618,366,1
Truck43619,366,1
Truck43620,366,1
Truck43621,366,1
Truck43622,366,1
Truck43623,366,1
Truck43624,366,1
Truck43625,366,1
Truck43626,366,1
Truck43627,366,1
Truck43628,366,1
Truck43629,366,1
Truck43630,366,1
Truck43631,366,1
Truck43632,366,1
Truck43633,366,1
Truck43634,366,1
Truck43635,366,1
Truck43636,366,1
Truck43637,366,1
Truck43638,366,1
Truck43639,366,1
Truck43640,366,1
Truck43641,366,1
Truck43642,366,1
Truck43643,366,1
Truck43644,366,1
Truck43645,366,1
Truck43646,366,1
Truck43647,366,1
Truck43648,366,1
Truck43649,366,1
Truck43650,366,1
Truck43651,366,1
Truck43652,366,1
Truck43653,366,1
Truck43654,366,1
Truck43655,366,1
Truck43656,366,1
Truck43657,366,1
Truck43658,366,1
Truck43659,366,1
Truck43660,366,1
Truck43661,366,1
Truck43662,366,1
Truck43663,366,1
Truck43664,366,1
Truck43665,366,1
Truck43666,366,1
Truck43667,366,1
Truck43668,366,1
Truck43669,366,1
Truck43670,366,1
Truck43671,366,1
Truck43672,366,1
Truck43673,366,1
Truck43674,366,1
Truck43675,366,1
Truck43676,366,1
Truck43677,366,1
Truck43678,366,1
Truck43679,366,1
Truck43680,366,1
Truck43681,366,1
Truck43682,366,1
Truck43683,366,1
Truck43684,366,1
Truck43685,366,1
Truck43686,366,1
Truck43687,366,1
Truck43688,366,1
Truck43689,366,1
Truck43690,366,1
Truck43691,366,1
Truck43692,366,1
Truck43693,366,1
Truck43694,366,1
Truck43695,366,1
Truck43696,366,1
Truck43697,366,1
Truck43698,366,1
Truck43699,366,1
Truck43700,366,1
Truck43701,366,1
Truck43702,366,1
Truck43703,366,1
Truck43704,366,1
Truck43705,366,1
Truck43706,366,1
Truck43707,366,1
Truck43708,366,1
Truck43709,366,1
Truck43710,366,1
Truck43711,366,1
Truck43712,366,1
Truck43713,366,1
Truck43714,366,1
Truck43715,366,1
Truck43716,366,1
Truck43717,366,1
Truck43718,366,1
Truck43719,366,1
Truck43720,366,1
Truck43721,366,1
Truck43722,366,1
Truck43723,366,1
Truck43724,366,1
Truck43725,366,1
Truck43726,366,1
Truck43727,366,1
Truck43728,366,1
Truck43729,366,1
Truck43730,366,1
Truck43731,366,1
Truck43732,366,1
Truck43733,366,1
Truck43734,366,1
Truck43735,366,1
Truck43736,366,1
Truck43737,366,1
Truck43738,366,1
Truck43739,366,1
Truck43740,366,1
Truck43741,366,1
Truck43742,366,1
Truck43743,366,1
Truck43744,366,1
Truck43745,366,1
Truck43746,366,1
Truck43747,366,1
Truck43748,366,1
Truck43749,366,1
Truck43750,366,1
Truck43751,366,1
Truck43752,366,1
Truck43753,366,1
Truck43754,366,1
Truck43755,366,1
Truck43756,366,1
Truck43757,366,1
Truck43758,366,1
Truck43759,366,1
Truck43760,366,1
Truck43761,366,1
Truck43762,366,1
Truck43763,366,1
Truck43764,366,1
Truck43765,366,1
Truck43766,366,1
Truck43767,366,1
Truck43768,366,1
Truck43769,366,1
Truck43770,366,1
Truck43771,366,1
Truck43772,366,1
Truck43773,366,1
Truck43774,366,1
Truck43775,366,1
Truck43776,366,1
Truck43777,366,1
Truck43778,366,1
Truck43779,366,1
