Vehicle_ID,Delay,Bridge_ID,Seed
Truck61081,11.973848564284195,1000171,3
Truck61030,57.4470526163599,1000357,3
Truck61095,42.65396378393139,1000151,3
Truck61058,75.42091392693196,1000245,3
Truck61016,55.66241768101539,1000393,3
Truck61071,42.710907358781554,1000225,3
Truck61079,18.677790339277223,1000179,3
Truck61087,17.184404774485163,1000153,3
Truck61082,11.973848564284195,1000171,3
Truck61031,57.4470526163599,1000357,3
Truck61096,42.65396378393139,1000151,3
Truck61059,75.42091392693196,1000245,3
Truck61017,55.66241768101539,1000393,3
Truck61072,42.710907358781554,1000225,3
Truck61080,18.677790339277223,1000179,3
Truck61088,17.184404774485163,1000153,3
Truck61083,11.973848564284195,1000171,3
Truck61032,57.4470526163599,1000357,3
Truck61097,42.65396378393139,1000151,3
Truck61060,75.42091392693196,1000245,3
Truck61018,55.66241768101539,1000393,3
Truck61073,42.710907358781554,1000225,3
Truck61081,18.677790339277223,1000179,3
Truck61089,17.184404774485163,1000153,3
Truck61084,11.973848564284195,1000171,3
Truck61033,57.4470526163599,1000357,3
Truck61098,42.65396378393139,1000151,3
Truck61061,75.42091392693196,1000245,3
Truck61019,55.66241768101539,1000393,3
Truck61074,42.710907358781554,1000225,3
Truck61082,18.677790339277223,1000179,3
Truck61090,17.184404774485163,1000153,3
Truck61085,11.973848564284195,1000171,3
Truck61034,57.4470526163599,1000357,3
Truck61099,42.65396378393139,1000151,3
Truck61062,75.42091392693196,1000245,3
Truck61020,55.66241768101539,1000393,3
Truck61075,42.710907358781554,1000225,3
Truck61083,18.677790339277223,1000179,3
Truck61091,17.184404774485163,1000153,3
Truck61086,11.973848564284195,1000171,3
Truck61035,57.4470526163599,1000357,3
Truck61100,42.65396378393139,1000151,3
Truck61063,75.42091392693196,1000245,3
Truck61021,55.66241768101539,1000393,3
Truck61076,42.710907358781554,1000225,3
Truck61084,18.677790339277223,1000179,3
Truck61092,17.184404774485163,1000153,3
Truck61087,11.973848564284195,1000171,3
Truck61036,57.4470526163599,1000357,3
Truck61101,42.65396378393139,1000151,3
Truck61064,75.42091392693196,1000245,3
Truck61022,55.66241768101539,1000393,3
Truck61077,42.710907358781554,1000225,3
Truck61085,18.677790339277223,1000179,3
Truck61093,17.184404774485163,1000153,3
Truck61088,11.973848564284195,1000171,3
Truck61037,57.4470526163599,1000357,3
Truck61102,42.65396378393139,1000151,3
Truck61065,75.42091392693196,1000245,3
Truck61023,55.66241768101539,1000393,3
Truck61078,42.710907358781554,1000225,3
Truck61086,18.677790339277223,1000179,3
Truck61094,17.184404774485163,1000153,3
Truck61089,11.973848564284195,1000171,3
Truck61038,57.4470526163599,1000357,3
Truck61103,42.65396378393139,1000151,3
Truck61066,75.42091392693196,1000245,3
Truck61024,55.66241768101539,1000393,3
Truck61079,42.710907358781554,1000225,3
Truck61087,18.677790339277223,1000179,3
Truck61095,17.184404774485163,1000153,3
Truck61090,11.973848564284195,1000171,3
Truck61039,57.4470526163599,1000357,3
Truck61104,42.65396378393139,1000151,3
Truck61067,75.42091392693196,1000245,3
Truck61025,55.66241768101539,1000393,3
Truck61080,42.710907358781554,1000225,3
Truck61088,18.677790339277223,1000179,3
Truck61096,17.184404774485163,1000153,3
Truck61091,11.973848564284195,1000171,3
Truck61040,57.4470526163599,1000357,3
Truck61105,42.65396378393139,1000151,3
Truck61068,75.42091392693196,1000245,3
Truck61026,55.66241768101539,1000393,3
Truck61081,42.710907358781554,1000225,3
Truck61089,18.677790339277223,1000179,3
Truck61097,17.184404774485163,1000153,3
Truck61092,11.973848564284195,1000171,3
Truck61041,57.4470526163599,1000357,3
Truck61106,42.65396378393139,1000151,3
Truck61069,75.42091392693196,1000245,3
Truck61027,55.66241768101539,1000393,3
Truck61082,42.710907358781554,1000225,3
Truck61090,18.677790339277223,1000179,3
Truck61098,17.184404774485163,1000153,3
Truck61093,11.973848564284195,1000171,3
Truck61042,57.4470526163599,1000357,3
Truck61107,42.65396378393139,1000151,3
Truck61070,75.42091392693196,1000245,3
Truck61028,55.66241768101539,1000393,3
Truck61083,42.710907358781554,1000225,3
Truck61091,18.677790339277223,1000179,3
Truck61099,17.184404774485163,1000153,3
Truck61094,11.973848564284195,1000171,3
Truck61043,57.4470526163599,1000357,3
Truck61108,42.65396378393139,1000151,3
Truck61071,75.42091392693196,1000245,3
Truck61029,55.66241768101539,1000393,3
Truck61084,42.710907358781554,1000225,3
Truck61092,18.677790339277223,1000179,3
Truck61100,17.184404774485163,1000153,3
Truck61095,11.973848564284195,1000171,3
Truck61044,57.4470526163599,1000357,3
Truck61109,42.65396378393139,1000151,3
Truck61072,75.42091392693196,1000245,3
Truck61030,55.66241768101539,1000393,3
Truck61085,42.710907358781554,1000225,3
Truck61093,18.677790339277223,1000179,3
Truck61101,17.184404774485163,1000153,3
Truck61096,11.973848564284195,1000171,3
Truck61045,57.4470526163599,1000357,3
Truck61110,42.65396378393139,1000151,3
Truck61073,75.42091392693196,1000245,3
Truck61031,55.66241768101539,1000393,3
Truck61086,42.710907358781554,1000225,3
Truck61094,18.677790339277223,1000179,3
Truck61102,17.184404774485163,1000153,3
Truck61097,11.973848564284195,1000171,3
Truck61046,57.4470526163599,1000357,3
Truck61111,42.65396378393139,1000151,3
Truck61074,75.42091392693196,1000245,3
Truck61032,55.66241768101539,1000393,3
Truck61087,42.710907358781554,1000225,3
Truck61095,18.677790339277223,1000179,3
Truck61103,17.184404774485163,1000153,3
Truck61098,11.973848564284195,1000171,3
Truck61047,57.4470526163599,1000357,3
Truck61112,42.65396378393139,1000151,3
Truck61075,75.42091392693196,1000245,3
Truck61033,55.66241768101539,1000393,3
Truck61088,42.710907358781554,1000225,3
Truck61096,18.677790339277223,1000179,3
Truck61104,17.184404774485163,1000153,3
Truck61099,11.973848564284195,1000171,3
Truck61048,57.4470526163599,1000357,3
Truck61113,42.65396378393139,1000151,3
Truck61076,75.42091392693196,1000245,3
Truck61034,55.66241768101539,1000393,3
Truck61089,42.710907358781554,1000225,3
Truck61097,18.677790339277223,1000179,3
Truck61105,17.184404774485163,1000153,3
Truck61100,11.973848564284195,1000171,3
Truck61049,57.4470526163599,1000357,3
Truck61114,42.65396378393139,1000151,3
Truck61077,75.42091392693196,1000245,3
Truck61035,55.66241768101539,1000393,3
Truck61090,42.710907358781554,1000225,3
Truck61098,18.677790339277223,1000179,3
Truck61106,17.184404774485163,1000153,3
Truck61101,11.973848564284195,1000171,3
Truck61050,57.4470526163599,1000357,3
Truck61115,42.65396378393139,1000151,3
Truck61078,75.42091392693196,1000245,3
Truck61036,55.66241768101539,1000393,3
Truck61091,42.710907358781554,1000225,3
Truck61099,18.677790339277223,1000179,3
Truck61107,17.184404774485163,1000153,3
Truck61102,11.973848564284195,1000171,3
Truck61051,57.4470526163599,1000357,3
Truck61116,42.65396378393139,1000151,3
Truck61079,75.42091392693196,1000245,3
Truck61037,55.66241768101539,1000393,3
Truck61092,42.710907358781554,1000225,3
Truck61100,18.677790339277223,1000179,3
Truck61108,17.184404774485163,1000153,3
