road,id,model_type,name,lat,lon,length,condition
N1,1001501,bridge,bridge 751,20.9893582625336,92.2545712327493,29.9,C
N1,1001502,link,link 15717,445.478,445.478,0.9569999999999936,
N1,1001503,bridge,bridge 752,20.9813317189461,92.2521134830717,1.2,C
N1,1001504,link,link 15718,446.435,446.435,0.27499999999997726,
N1,1001505,bridge,bridge 753,20.9790279773542,92.2512228468609,36.6,C
N1,1001506,link,link 15719,446.71,446.71,0.6910000000000309,
N1,1001507,bridge,bridge 754,20.9732781770034,92.2493761152148,30.4,C
N1,1001508,link,link 15720,447.401,447.401,1.6999999999999886,
N1,1001509,bridge,bridge 755,20.9599449953642,92.2537187390728,41.75,C
N1,1001510,link,link 15721,449.101,449.101,1.3450000000000273,
N1,1001511,bridge,bridge 756,20.9491451322709,92.2584208880478,37.2,C
N1,1001512,link,link 15722,450.446,450.446,0.8819999999999482,
N1,1001513,bridge,bridge 757,20.9427885228723,92.260596812234,38.6,C
N1,1001514,link,link 15723,451.328,451.328,0.0,
N1,1001515,bridge,bridge 758,20.9427885228723,92.260596812234,38.0,C
N1,1001516,link,link 15724,451.328,451.328,1.7220000000000368,
N1,1001517,bridge,bridge 759,20.9281373875,92.264301196875,34.8,C
N1,1001518,link,link 15725,453.05,453.05,0.0,
N1,1001519,bridge,bridge 760,20.9281373875,92.264301196875,34.1,C
N1,1001520,link,link 15726,453.05,453.05,0.8999999999999773,
N1,1001521,bridge,bridge 761,20.9209276456603,92.2674528079245,37.6,C
N1,1001522,link,link 15727,453.95,453.95,0.5480000000000018,
N1,1001523,bridge,bridge 762,20.9167064980392,92.2698571431372,6.0,C
N1,1001524,link,link 15728,454.498,454.498,0.867999999999995,
N1,1001525,bridge,bridge 763,20.9104284959641,92.2741396026905,23.7,C
N1,1001526,link,link 15729,455.366,455.366,0.32200000000000273,
N1,1001527,bridge,bridge 764,20.908032127731,92.2756905852941,29.3,C
N1,1001528,link,link 15730,455.688,455.688,0.4759999999999991,
N1,1001529,bridge,bridge 765,20.9045718551546,92.2780768381443,17.5,C
N1,1001530,link,link 15731,456.164,456.164,0.12299999999999045,
N1,1001531,bridge,bridge 766,20.9036912639175,92.2786932329896,8.3,C
N1,1001532,link,link 15732,456.287,456.287,2.5120000000000005,
N1,1001533,bridge,bridge 767,20.8901584525606,92.2957180800539,37.3,C
N1,1001534,link,link 15733,458.799,458.799,1.0670000000000073,
N1,1001535,bridge,bridge 768,20.8830704487341,92.2981629575949,1.5,C
N1,1001536,link,link 15734,459.866,459.866,0.2470000000000141,
N1,1001537,bridge,bridge 769,20.8809852229698,92.2977774,35.9,C
N1,1001538,link,link 15735,460.113,460.113,0.0,
N1,1001539,bridge,bridge 770,20.8809852229698,92.2977774,35.9,C
N1,1001540,link,link 19366,460.113,460.113,-241.672,
