Unique_ID,Time_In_Model,Seed
Truck72000,595,1
Truck72001,595,1
Truck72002,595,1
Truck72003,595,1
Truck72004,595,1
Truck72005,595,1
Truck72006,595,1
Truck72007,595,1
Truck72008,595,1
Truck72009,595,1
Truck72010,595,1
Truck72011,595,1
Truck72012,595,1
Truck72013,595,1
Truck72014,595,1
Truck72015,595,1
Truck72016,595,1
Truck72017,595,1
Truck72018,595,1
Truck72019,595,1
Truck72020,595,1
Truck72021,595,1
Truck72022,595,1
Truck72023,595,1
Truck72024,595,1
Truck72025,595,1
Truck72026,595,1
Truck72027,595,1
Truck72028,595,1
Truck72029,595,1
Truck72030,595,1
Truck72031,595,1
Truck72032,595,1
Truck72033,595,1
Truck72034,595,1
Truck72035,595,1
Truck72036,595,1
Truck72037,595,1
Truck72038,595,1
Truck72039,595,1
Truck72040,595,1
Truck72041,595,1
Truck72042,595,1
Truck72043,595,1
Truck72044,595,1
Truck72045,595,1
Truck72046,595,1
Truck72047,595,1
Truck72048,595,1
Truck72049,595,1
Truck72050,595,1
Truck72051,595,1
Truck72052,595,1
Truck72053,595,1
Truck72054,595,1
Truck72055,595,1
Truck72056,595,1
Truck72057,595,1
Truck72058,595,1
Truck72059,595,1
Truck72060,595,1
Truck72061,595,1
Truck72062,595,1
Truck72063,595,1
Truck72064,595,1
Truck72065,595,1
Truck72066,595,1
Truck72067,595,1
Truck72068,595,1
Truck72069,595,1
Truck72070,595,1
Truck72071,595,1
Truck72072,595,1
Truck72073,595,1
Truck72074,595,1
Truck72075,595,1
Truck72076,595,1
Truck72077,595,1
Truck72078,595,1
Truck72079,595,1
Truck72080,595,1
Truck72081,595,1
Truck72082,595,1
Truck72083,595,1
Truck72084,595,1
Truck72085,595,1
Truck72086,595,1
Truck72087,595,1
Truck72088,595,1
Truck72089,595,1
Truck72090,595,1
Truck72091,595,1
Truck72092,595,1
Truck72093,595,1
Truck72094,595,1
Truck72095,595,1
Truck72096,595,1
Truck72097,595,1
Truck72098,595,1
Truck72099,595,1
Truck72100,595,1
Truck72101,595,1
Truck72102,595,1
Truck72103,595,1
Truck72104,595,1
Truck72105,595,1
Truck72106,595,1
Truck72107,595,1
Truck72108,595,1
Truck72109,595,1
Truck72110,595,1
Truck72111,595,1
Truck72112,595,1
Truck72113,595,1
Truck72114,595,1
Truck72115,595,1
Truck72116,595,1
Truck72117,595,1
Truck72118,595,1
Truck72119,595,1
Truck72120,595,1
Truck72121,595,1
Truck72122,595,1
Truck72123,595,1
Truck72124,595,1
Truck72125,595,1
Truck72126,595,1
Truck72127,595,1
Truck72128,595,1
