Unique_ID,Time_In_Model,Seed
Truck100800,1020,1
Truck100801,1020,1
Truck100802,1020,1
Truck100803,1020,1
Truck100804,1020,1
Truck100805,1020,1
Truck100806,1020,1
Truck100807,1020,1
Truck100808,1020,1
Truck100809,1020,1
Truck100810,1020,1
Truck100811,1020,1
Truck100812,1020,1
Truck100813,1020,1
Truck100814,1020,1
Truck100815,1020,1
Truck100816,1020,1
Truck100817,1020,1
Truck100818,1020,1
Truck100819,1020,1
Truck100820,1020,1
Truck100821,1020,1
Truck100822,1020,1
Truck100823,1020,1
Truck100824,1020,1
Truck100825,1020,1
Truck100826,1020,1
Truck100827,1020,1
Truck100828,1020,1
Truck100829,1020,1
Truck100830,1020,1
Truck100831,1020,1
Truck100832,1020,1
Truck100833,1020,1
Truck100834,1020,1
Truck100835,1020,1
Truck100836,1020,1
Truck100837,1020,1
Truck100838,1020,1
Truck100839,1020,1
Truck100840,1020,1
Truck100841,1020,1
Truck100842,1020,1
Truck100843,1020,1
Truck100844,1020,1
Truck100845,1020,1
Truck100846,1020,1
Truck100847,1020,1
Truck100848,1020,1
Truck100849,1020,1
Truck100850,1020,1
Truck100851,1020,1
Truck100852,1020,1
Truck100853,1020,1
Truck100854,1020,1
Truck100855,1020,1
Truck100856,1020,1
Truck100857,1020,1
Truck100858,1020,1
Truck100859,1020,1
Truck100860,1020,1
Truck100861,1020,1
Truck100862,1020,1
Truck100863,1020,1
Truck100864,1020,1
Truck100865,1020,1
Truck100866,1020,1
Truck100867,1020,1
Truck100868,1020,1
Truck100869,1020,1
Truck100870,1020,1
Truck100871,1020,1
Truck100872,1020,1
Truck100873,1020,1
Truck100874,1020,1
Truck100875,1020,1
Truck100876,1020,1
Truck100877,1020,1
Truck100878,1020,1
Truck100879,1020,1
Truck100880,1020,1
Truck100881,1020,1
Truck100882,1020,1
Truck100883,1020,1
Truck100884,1020,1
Truck100885,1020,1
Truck100886,1020,1
Truck100887,1020,1
Truck100888,1020,1
Truck100889,1020,1
Truck100890,1020,1
Truck100891,1020,1
Truck100892,1020,1
Truck100893,1020,1
Truck100894,1020,1
Truck100895,1020,1
Truck100896,1020,1
Truck100897,1020,1
Truck100898,1020,1
Truck100899,1020,1
Truck100900,1020,1
Truck100901,1020,1
Truck100902,1020,1
Truck100903,1020,1
Truck100904,1020,1
Truck100905,1020,1
Truck100906,1020,1
Truck100907,1020,1
Truck100908,1020,1
Truck100909,1020,1
Truck100910,1020,1
Truck100911,1020,1
Truck100912,1020,1
Truck100913,1020,1
Truck100914,1020,1
Truck100915,1020,1
Truck100916,1020,1
Truck100917,1020,1
Truck100918,1020,1
Truck100919,1020,1
Truck100920,1020,1
Truck100921,1020,1
Truck100922,1020,1
Truck100923,1020,1
Truck100924,1020,1
Truck100925,1020,1
Truck100926,1020,1
Truck100927,1020,1
Truck100928,1020,1
Truck100929,1020,1
Truck100930,1020,1
Truck100931,1020,1
Truck100932,1020,1
Truck100933,1020,1
Truck100934,1020,1
Truck100935,1020,1
Truck100936,1020,1
Truck100937,1020,1
Truck100938,1020,1
Truck100939,1020,1
Truck100940,1020,1
Truck100941,1020,1
Truck100942,1020,1
Truck100943,1020,1
Truck100944,1020,1
Truck100945,1020,1
Truck100946,1020,1
Truck100947,1020,1
Truck100948,1020,1
Truck100949,1020,1
Truck100950,1020,1
Truck100951,1020,1
Truck100952,1020,1
Truck100953,1020,1
Truck100954,1020,1
Truck100955,1020,1
Truck100956,1020,1
Truck100957,1020,1
Truck100958,1020,1
Truck100959,1020,1
Truck100960,1020,1
Truck100961,1020,1
Truck100962,1020,1
Truck100963,1020,1
Truck100964,1020,1
Truck100965,1020,1
Truck100966,1020,1
Truck100967,1020,1
Truck100968,1020,1
Truck100969,1020,1
Truck100970,1020,1
Truck100971,1020,1
Truck100972,1020,1
Truck100973,1020,1
Truck100974,1020,1
Truck100975,1020,1
Truck100976,1020,1
Truck100977,1020,1
Truck100978,1020,1
Truck100979,1020,1
Truck100980,1020,1
Truck100981,1020,1
Truck100982,1020,1
Truck100983,1020,1
Truck100984,1020,1
Truck100985,1020,1
Truck100986,1020,1
Truck100987,1020,1
Truck100988,1020,1
Truck100989,1020,1
Truck100990,1020,1
Truck100991,1020,1
Truck100992,1020,1
Truck100993,1020,1
Truck100994,1020,1
Truck100995,1020,1
Truck100996,1020,1
Truck100997,1020,1
Truck100998,1020,1
Truck100999,1020,1
Truck101000,1020,1
Truck101001,1020,1
Truck101002,1020,1
Truck101003,1020,1
Truck101004,1020,1
Truck101005,1020,1
Truck101006,1020,1
Truck101007,1020,1
Truck101008,1020,1
Truck101009,1020,1
Truck101010,1020,1
Truck101011,1020,1
Truck101012,1020,1
Truck101013,1020,1
Truck101014,1020,1
Truck101015,1020,1
Truck101016,1020,1
Truck101017,1020,1
Truck101018,1020,1
Truck101019,1020,1
Truck101020,1020,1
Truck101021,1020,1
Truck101022,1020,1
Truck101023,1020,1
Truck101024,1020,1
Truck101025,1020,1
Truck101026,1020,1
Truck101027,1020,1
Truck101028,1020,1
Truck101029,1020,1
Truck101030,1020,1
Truck101031,1020,1
Truck101032,1020,1
Truck101033,1020,1
Truck101034,1020,1
Truck101035,1020,1
Truck101036,1020,1
Truck101037,1020,1
Truck101038,1020,1
Truck101039,1020,1
Truck101040,1020,1
Truck101041,1020,1
Truck101042,1020,1
Truck101043,1020,1
Truck101044,1020,1
Truck101045,1020,1
Truck101046,1020,1
Truck101047,1020,1
Truck101048,1020,1
Truck101049,1020,1
Truck101050,1020,1
Truck101051,1020,1
Truck101052,1020,1
Truck101053,1020,1
Truck101054,1020,1
Truck101055,1020,1
Truck101056,1020,1
Truck101057,1020,1
Truck101058,1020,1
Truck101059,1020,1
Truck101060,1020,1
Truck101061,1020,1
Truck101062,1020,1
Truck101063,1020,1
Truck101064,1020,1
Truck101065,1020,1
Truck101066,1020,1
Truck101067,1020,1
Truck101068,1020,1
Truck101069,1020,1
Truck101070,1020,1
Truck101071,1020,1
Truck101072,1020,1
Truck101073,1020,1
Truck101074,1020,1
Truck101075,1020,1
Truck101076,1020,1
Truck101077,1020,1
Truck101078,1020,1
Truck101079,1020,1
Truck101080,1020,1
Truck101081,1020,1
Truck101082,1020,1
Truck101083,1020,1
Truck101084,1020,1
Truck101085,1020,1
Truck101086,1020,1
Truck101087,1020,1
Truck101088,1020,1
Truck101089,1020,1
Truck101090,1020,1
Truck101091,1020,1
Truck101092,1020,1
Truck101093,1020,1
Truck101094,1020,1
Truck101095,1020,1
Truck101096,1020,1
Truck101097,1020,1
Truck101098,1020,1
Truck101099,1020,1
Truck101100,1020,1
Truck101101,1020,1
Truck101102,1020,1
Truck101103,1020,1
Truck101104,1020,1
Truck101105,1020,1
Truck101106,1020,1
Truck101107,1020,1
Truck101108,1020,1
Truck101109,1020,1
Truck101110,1020,1
Truck101111,1020,1
Truck101112,1020,1
Truck101113,1020,1
Truck101114,1020,1
Truck101115,1020,1
Truck101116,1020,1
Truck101117,1020,1
Truck101118,1020,1
Truck101119,1020,1
Truck101120,1020,1
Truck101121,1020,1
Truck101122,1020,1
Truck101123,1020,1
Truck101124,1020,1
Truck101125,1020,1
Truck101126,1020,1
Truck101127,1020,1
Truck101128,1020,1
Truck101129,1020,1
Truck101130,1020,1
Truck101131,1020,1
Truck101132,1020,1
Truck101133,1020,1
Truck101134,1020,1
Truck101135,1020,1
Truck101136,1020,1
Truck101137,1020,1
Truck101138,1020,1
Truck101139,1020,1
Truck101140,1020,1
Truck101141,1020,1
Truck101142,1020,1
Truck101143,1020,1
Truck101144,1020,1
Truck101145,1020,1
Truck101146,1020,1
Truck101147,1020,1
Truck101148,1020,1
