Unique_ID,Time_In_Model,Seed
Truck14400,304,1
Truck14401,304,1
Truck14402,304,1
Truck14403,304,1
Truck14404,304,1
Truck14405,304,1
Truck14406,304,1
Truck14407,304,1
Truck14408,304,1
Truck14409,304,1
Truck14410,304,1
Truck14411,304,1
Truck14412,304,1
Truck14413,304,1
Truck14414,304,1
Truck14415,304,1
Truck14416,304,1
Truck14417,304,1
Truck14418,304,1
Truck14419,304,1
Truck14420,304,1
Truck14421,304,1
Truck14422,304,1
Truck14423,304,1
Truck14424,304,1
Truck14425,304,1
Truck14426,304,1
Truck14427,304,1
Truck14428,304,1
Truck14429,304,1
Truck14430,304,1
Truck14431,304,1
Truck14432,304,1
Truck14433,304,1
Truck14434,304,1
Truck14435,304,1
Truck14436,304,1
Truck14437,304,1
Truck14438,304,1
Truck14439,304,1
Truck14440,304,1
Truck14441,304,1
Truck14442,304,1
Truck14443,304,1
Truck14444,304,1
Truck14445,304,1
Truck14446,304,1
Truck14447,304,1
Truck14448,304,1
Truck14449,304,1
Truck14450,304,1
Truck14451,304,1
Truck14452,304,1
Truck14453,304,1
Truck14454,304,1
Truck14455,304,1
Truck14456,304,1
Truck14457,304,1
Truck14458,304,1
Truck14459,304,1
Truck14460,304,1
Truck14461,304,1
Truck14462,304,1
Truck14463,304,1
Truck14464,304,1
Truck14465,304,1
Truck14466,304,1
Truck14467,304,1
Truck14468,304,1
Truck14469,304,1
Truck14470,304,1
Truck14471,304,1
Truck14472,304,1
Truck14473,304,1
Truck14474,304,1
Truck14475,304,1
Truck14476,304,1
Truck14477,304,1
Truck14478,304,1
Truck14479,304,1
Truck14480,304,1
Truck14481,304,1
Truck14482,304,1
Truck14483,304,1
Truck14484,304,1
Truck14485,304,1
Truck14486,304,1
Truck14487,304,1
Truck14488,304,1
Truck14489,304,1
Truck14490,304,1
Truck14491,304,1
Truck14492,304,1
Truck14493,304,1
Truck14494,304,1
Truck14495,304,1
Truck14496,304,1
Truck14497,304,1
Truck14498,304,1
Truck14499,304,1
Truck14500,304,1
Truck14501,304,1
Truck14502,304,1
Truck14503,304,1
Truck14504,304,1
Truck14505,304,1
Truck14506,304,1
Truck14507,304,1
Truck14508,304,1
Truck14509,304,1
Truck14510,304,1
Truck14511,304,1
Truck14512,304,1
Truck14513,304,1
Truck14514,304,1
Truck14515,304,1
Truck14516,304,1
Truck14517,304,1
Truck14518,304,1
Truck14519,304,1
Truck14520,304,1
Truck14521,304,1
Truck14522,304,1
Truck14523,304,1
Truck14524,304,1
Truck14525,304,1
Truck14526,304,1
Truck14527,304,1
Truck14528,304,1
Truck14529,304,1
Truck14530,304,1
Truck14531,304,1
Truck14532,304,1
Truck14533,304,1
Truck14534,304,1
Truck14535,304,1
Truck14536,304,1
Truck14537,304,1
Truck14538,304,1
Truck14539,304,1
Truck14540,304,1
Truck14541,304,1
Truck14542,304,1
Truck14543,304,1
Truck14544,304,1
Truck14545,304,1
Truck14546,304,1
Truck14547,304,1
Truck14548,304,1
Truck14549,304,1
Truck14550,304,1
Truck14551,304,1
Truck14552,304,1
Truck14553,304,1
Truck14554,304,1
Truck14555,304,1
Truck14556,304,1
Truck14557,304,1
Truck14558,304,1
Truck14559,304,1
Truck14560,304,1
Truck14561,304,1
Truck14562,304,1
Truck14563,304,1
Truck14564,304,1
Truck14565,304,1
Truck14566,304,1
Truck14567,304,1
Truck14568,304,1
Truck14569,304,1
Truck14570,304,1
Truck14571,304,1
Truck14572,304,1
Truck14573,304,1
Truck14574,304,1
Truck14575,304,1
Truck14576,304,1
Truck14577,304,1
Truck14578,304,1
Truck14579,304,1
Truck14580,304,1
Truck14581,304,1
Truck14582,304,1
Truck14583,304,1
Truck14584,304,1
Truck14585,304,1
Truck14586,304,1
Truck14587,304,1
Truck14588,304,1
Truck14589,304,1
Truck14590,304,1
Truck14591,304,1
Truck14592,304,1
Truck14593,304,1
Truck14594,304,1
Truck14595,304,1
Truck14596,304,1
Truck14597,304,1
Truck14598,304,1
Truck14599,304,1
Truck14600,304,1
Truck14601,304,1
Truck14602,304,1
Truck14603,304,1
Truck14604,304,1
Truck14605,304,1
Truck14606,304,1
Truck14607,304,1
Truck14608,304,1
Truck14609,304,1
Truck14610,304,1
Truck14611,304,1
Truck14612,304,1
Truck14613,304,1
Truck14614,304,1
Truck14615,304,1
Truck14616,304,1
Truck14617,304,1
Truck14618,304,1
Truck14619,304,1
Truck14620,304,1
Truck14621,304,1
Truck14622,304,1
Truck14623,304,1
Truck14624,304,1
Truck14625,304,1
Truck14626,304,1
Truck14627,304,1
Truck14628,304,1
Truck14629,304,1
Truck14630,304,1
Truck14631,304,1
Truck14632,304,1
Truck14633,304,1
Truck14634,304,1
Truck14635,304,1
Truck14636,304,1
Truck14637,304,1
Truck14638,304,1
Truck14639,304,1
Truck14640,304,1
Truck14641,304,1
Truck14642,304,1
Truck14643,304,1
Truck14644,304,1
Truck14645,304,1
Truck14646,304,1
Truck14647,304,1
Truck14648,304,1
Truck14649,304,1
Truck14650,304,1
Truck14651,304,1
Truck14652,304,1
Truck14653,304,1
Truck14654,304,1
Truck14655,304,1
Truck14656,304,1
Truck14657,304,1
Truck14658,304,1
Truck14659,304,1
Truck14660,304,1
Truck14661,304,1
Truck14662,304,1
Truck14663,304,1
Truck14664,304,1
Truck14665,304,1
Truck14666,304,1
Truck14667,304,1
Truck14668,304,1
Truck14669,304,1
Truck14670,304,1
Truck14671,304,1
Truck14672,304,1
Truck14673,304,1
Truck14674,304,1
Truck14675,304,1
Truck14676,304,1
Truck14677,304,1
Truck14678,304,1
Truck14679,304,1
Truck14680,304,1
Truck14681,304,1
Truck14682,304,1
Truck14683,304,1
Truck14684,304,1
Truck14685,304,1
Truck14686,304,1
Truck14687,304,1
Truck14688,304,1
Truck14689,304,1
Truck14690,304,1
Truck14691,304,1
Truck14692,304,1
Truck14693,304,1
Truck14694,304,1
Truck14695,304,1
Truck14696,304,1
Truck14697,304,1
Truck14698,304,1
Truck14699,304,1
Truck14700,304,1
Truck14701,304,1
Truck14702,304,1
Truck14703,304,1
Truck14704,304,1
Truck14705,304,1
Truck14706,304,1
Truck14707,304,1
Truck14708,304,1
Truck14709,304,1
Truck14710,304,1
Truck14711,304,1
Truck14712,304,1
Truck14713,304,1
Truck14714,304,1
Truck14715,304,1
Truck14716,304,1
Truck14717,304,1
Truck14718,304,1
Truck14719,304,1
Truck14720,304,1
Truck14721,304,1
Truck14722,304,1
Truck14723,304,1
Truck14724,304,1
Truck14725,304,1
Truck14726,304,1
Truck14727,304,1
Truck14728,304,1
Truck14729,304,1
Truck14730,304,1
Truck14731,304,1
Truck14732,304,1
Truck14733,304,1
Truck14734,304,1
Truck14735,304,1
Truck14736,304,1
Truck14737,304,1
Truck14738,304,1
Truck14739,304,1
Truck14740,304,1
Truck14741,304,1
Truck14742,304,1
Truck14743,304,1
Truck14744,304,1
Truck14745,304,1
Truck14746,304,1
Truck14747,304,1
Truck14748,304,1
Truck14749,304,1
Truck14750,304,1
Truck14751,304,1
Truck14752,304,1
Truck14753,304,1
Truck14754,304,1
Truck14755,304,1
Truck14756,304,1
Truck14757,304,1
Truck14758,304,1
Truck14759,304,1
Truck14760,304,1
Truck14761,304,1
Truck14762,304,1
Truck14763,304,1
Truck14764,304,1
Truck14765,304,1
Truck14766,304,1
Truck14767,304,1
Truck14768,304,1
Truck14769,304,1
Truck14770,304,1
Truck14771,304,1
Truck14772,304,1
Truck14773,304,1
Truck14774,304,1
Truck14775,304,1
Truck14776,304,1
Truck14777,304,1
Truck14778,304,1
Truck14779,304,1
Truck14780,304,1
Truck14781,304,1
Truck14782,304,1
Truck14783,304,1
Truck14784,304,1
Truck14785,304,1
Truck14786,304,1
Truck14787,304,1
Truck14788,304,1
Truck14789,304,1
Truck14790,304,1
Truck14791,304,1
Truck14792,304,1
Truck14793,304,1
Truck14794,304,1
Truck14795,304,1
Truck14796,304,1
Truck14797,304,1
Truck14798,304,1
Truck14799,304,1
Truck14800,304,1
Truck14801,304,1
Truck14802,304,1
Truck14803,304,1
Truck14804,304,1
Truck14805,304,1
Truck14806,304,1
Truck14807,304,1
Truck14808,304,1
Truck14809,304,1
Truck14810,304,1
Truck14811,304,1
Truck14812,304,1
Truck14813,304,1
Truck14814,304,1
Truck14815,304,1
Truck14816,304,1
Truck14817,304,1
Truck14818,304,1
Truck14819,304,1
Truck14820,304,1
Truck14821,304,1
Truck14822,304,1
Truck14823,304,1
Truck14824,304,1
Truck14825,304,1
Truck14826,304,1
Truck14827,304,1
Truck14828,304,1
Truck14829,304,1
Truck14830,304,1
Truck14831,304,1
Truck14832,304,1
Truck14833,304,1
Truck14834,304,1
Truck14835,304,1
Truck14836,304,1
Truck14837,304,1
Truck14838,304,1
Truck14839,304,1
Truck14840,304,1
Truck14841,304,1
Truck14842,304,1
Truck14843,304,1
Truck14844,304,1
Truck14845,304,1
Truck14846,304,1
Truck14847,304,1
Truck14848,304,1
Truck14849,304,1
Truck14850,304,1
Truck14851,304,1
Truck14852,304,1
Truck14853,304,1
Truck14854,304,1
Truck14855,304,1
Truck14856,304,1
Truck14857,304,1
Truck14858,304,1
Truck14859,304,1
Truck14860,304,1
Truck14861,304,1
Truck14862,304,1
Truck14863,304,1
Truck14864,304,1
Truck14865,304,1
Truck14866,304,1
Truck14867,304,1
Truck14868,304,1
Truck14869,304,1
Truck14870,304,1
Truck14871,304,1
Truck14872,304,1
Truck14873,304,1
Truck14874,304,1
Truck14875,304,1
Truck14876,304,1
Truck14877,304,1
Truck14878,304,1
Truck14879,304,1
Truck14880,304,1
Truck14881,304,1
Truck14882,304,1
Truck14883,304,1
Truck14884,304,1
Truck14885,304,1
Truck14886,304,1
Truck14887,304,1
Truck14888,304,1
Truck14889,304,1
Truck14890,304,1
Truck14891,304,1
Truck14892,304,1
Truck14893,304,1
Truck14894,304,1
Truck14895,304,1
Truck14896,304,1
Truck14897,304,1
Truck14898,304,1
Truck14899,304,1
Truck14900,304,1
Truck14901,304,1
Truck14902,304,1
Truck14903,304,1
Truck14904,304,1
Truck14905,304,1
Truck14906,304,1
Truck14907,304,1
Truck14908,304,1
Truck14909,304,1
Truck14910,304,1
Truck14911,304,1
Truck14912,304,1
Truck14913,304,1
Truck14914,304,1
Truck14915,304,1
Truck14916,304,1
Truck14917,304,1
Truck14918,304,1
