name
Madanpur - Langalband Z1061 
Langalband - Mograpara Chowrasta Z1089 
Katchpur - Madanpur N105 
Churkhai Bazar-Intersection with N3
Jatrabari - Int.with Z1101  
Int.with Z1101 - Signboard  R111 
Start form N4 near IT park Gate-int.with R315
Korotia(Int.with N408)-Bangra(Int.with Z4012)
Barabkunda Z1087-Fouzderhat Z1016 
Baroirdala Z1086- Barabkunda Z1087 
Fazilpur Z1081 - Muhuriganj Z1032 
Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) 
Mograpara(Int.with Z1089)-Meghna Bridge West End  
Meghna Bridge Satrt-Bhaberchar  z1063 
Bhaberchar(Int.with Z1063)-Daudkandi Bridge  
Daudkandi Bridge- Daudkandi Z1062 
Hamayetpur(Int.with R504)-Nabinagar(Int.with N540) 
Mirpur Bridge-Turag (Int.with Z5069) 
Signboard - Shimrail R110 
Int.with Z1031 - Elahiganj (Feni) Z1030 
Elahiganj (Feni) Z1030- Feni (Int.with N104) 
Shimrail - Katchpur N2 
Int.with Z1029 - Int.with Z1052 
Mainamati N102- Int.with Z1029 
Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 
Chandina Z1022 - Nimsar (Int.with Z1219 & Z1028) 
Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 
Miabazar Z1046 - Chauddagram(Int.with Z1045) 
Int.with Z1052 - Changani (Kotbari) 
Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 
Feni Shahid Minar( Int.with Z1034)-Fazilpur (Z1081) 
Pennai Z1053- Gouripur (Int.with Z1044) 
Daudkandi Z1062 - Pennai Z1053 
Eliotganj Z1042- Madhaya Z1017 
Gouripur (Int.with Z1044) - Eliotganj Z1042 
Madhaya Z1017 - Chandina Z1022 
Mirersarai Z1021 - Baroirdala Z1086 
Baraiyerhat R151- Mirersarai Z1021 
Muhuriganj Z1032-Baraiyerhat R151 
Kalampur Bus Stand(Int.with Z5061) -Golra (Int.with Z5063)
Nabinagar(Int.with N540)-Dulivita (Int.with R315)
Dulivita(Int.with R315) -Kalampur Bus Stand (Int.with Z5061)
Baniajuri (Int.with Z5064) -Barangail (Int.with R506)
Manikganj (Int.with R504) -Baniajuri (Int.with Z5064)
Golra(Int.with Z5063) -Manikganj (Int.with R504)
Sherpur (Int.with Z5049)-Sherpur (Int.with Z5401)
Jhapgari (Bogra)Z5039-Matidali (bogra) N514
Int.with R545-Jhapgari (Bogra) Z5039
Int. with N510-Int.with R545
Bogra Station Rd. (N502)-Int. with N510
Sherpur (Int.with Z5401)-Sherpur (Int.with Z5034)
"Sherpur (Int.with Z5034) -Int.with N515,Sultanganj"
"Int.with N515,Sultanganj -Banani (Bogra)Z5040"
Int. with N514-Bogra Station Rd. (N502)
Banani (Bogra) )Z5040 -Int. with N514
Aziznagar (Int.with Z1007)-Harbang (Int.with Z1124)
Chunati R171 - Aziznagar Z1007
"Lohagara, Bara Aulia (Int.with Z1013) - Chunati R171"
Harbang (Int.with Z1124) - Ekatabazar Z1125
Start from N2 at Asugonj Gol Chottor- Asuganj New Ferry Ghat
Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) 
Md. Ali bazar (Int.with Z1031)-Int.with Z1031 
Patiya (Int.with Z1039)-Khanhat Int.with Z1026
Patiya (Int.with Z1059) - Patiya Dakbanglo (Int.with Z1057)
Patiya Dakbanglo (Int.with Z1057) - Patiya (Int.with Z1039)
"Shekhpara(Int.with Z7405)-Bottoli More (Kushtia,Int.with R747)"
"Chowrhash More (Int.with R710) -Trimohoni, Kushtia (Int.with R745)"
"Trimohoni, Kushtia (Int.with R745)-Int.with Z7411 (Bheramara)"
Int.with Z7411 (Bheramara)-Int.with Z7409 (Bheramara)
Amtali (Int.with Z7404)-Shekhpara (Int.with Z7405)
Int.with Z7409 (Bheramara)-Ruppur(Int.with N705)
Arappur (Int.with N7)-Amtali (Int.with Z7404)
"Bottoli More (Kushtia,Int.with R747)-Chowrhash More (Int.with R710)"
Jhenaidah(Bata More)-Arappur (Int.with N7)
Khanhat Int.with Z1026 - Hashimpur Z1036
"Int.with Z1019 - Lohagara, Bara Aulia (Int.with Z1013)"
Keranirhat N108 - Int.with Z1019
Hashimpur Z1036- Keranirhat N108
Bogra (Namajghar)-Int.with N5
Murail(int.with Z5459)-Adamdighi(int.with R546)
Dhubchachia (int.with Z5202)-Murail(int.with Z5459)
Dargahat (Int.with Z5053)-Dhubchachia (int.with Z5202)
Int.with N5-Dargahat (Int.with Z5053)
"Gathuria(Int. with N103)-Sarail(Kathihat, int. with N2)"
Kuatali(Int. with N103)-Gathuria(Int. with N103)
Sultanpur (Int with Z1216)-Kuatali(Int. with N103)
Mansertek(Int.with N107)- Patiya (Int.with Z1059)
Int. with Z1070 - Mansertek(Int.with N107)
"Pirganj (Int.with Z5074) -Mithapukur , R556"
"Rangpur Modern More, N517 -Rangpur Bus Terminal , Z5025"
Kuatali-Ghaturia
Royal City Chottor(int.with N210)-Int.with N2
"Gobindaganj, R585 -Nakaihat, Z5554"
"Nakaihat, Z5554 -Palashbari R555"
Mohasthangar Z5505-Chowkirghat Z5072
Chowkirghat Z5072-Mokamtala (Int.with Z5035)
"Kashipur (Mokamtala) Z5507-Gobindaganj, R585"
Mokamtala (Int.with R550)-Kashipur (Mokamtala) Z5507
Mokamtala (Int.with Z5035)-Mokamtala (Int.with R550)
Santirhat Int. with Z1071 - Int. with Z1070
