Seed,Average_Time,Average_Delay,Cumulative_Delay
1,16.871108018785876,,
2,16.873565217391306,,
3,16.82866585493129,,
4,16.84531059683313,,
5,16.788832840494,,
6,16.85366278058117,,
7,16.79993041057759,,
8,16.83504437097616,,
9,16.82011134307585,,
10,16.83492781353279,,
