Seed,Average_Time,Average_Delay,Cumulative_Delay
1,16.871108018785876,,
2,79.83760533707866,128.11760336578274,136.66232524673813
3,24.22026815253352,14.977705522493663,11.593999397622811
4,16.84531059683313,,
5,23.919540229885058,14.969506745385367,17.31183716779424
6,50.54634316634666,67.70131217026605,53.68431940938393
7,144.84983176908094,128.9168655858645,154.49869282936146
8,16.83504437097616,,
9,49.87170075161685,67.19203224808231,52.579258909155044
10,16.83492781353279,,
