name
Banani Rail Crossing-Progoti sharani 
"Progoti sharani-Abdullahpur, Int. with N302  "
"Karotia(Int.with Z4012)-Tangail, Nagarjalphai (Int.with N404)"
Pakullah(Int.with Z4007)-Karotia(Int.with Z4012)
Mirzapur(Int.with Z5061)-Pakullah(Int.with Z4007)
Gorai(Int.with Z4011)-Mirzapur(Int.with Z5061)
Kaliakoir (Int.with R315)-Gorai(Int.with Z4011)
Kadda(Int.with N105)-Chandra (Int.with N540)
Joydebpur-Kadda(Int.with N105)
Chandra (Int.with N540)-Kaliakoir (Int.with R315)
Abdullahpur-Rana Bhola (Int.with R303)
"Abdullahpur-Tongi St. Road, (int. with R301) "
Tongi st.road (Int.with R301)-Tongi (Int.with R303)  
Ashulia(Int.with N511)-Zerabo (Int.with Z3007)
Dhaur (Int.with N501)-Ashulia(Int.with N511)
Rana Bhola (Int.with R303)-Dhaur (Int.with N501)
Langalband - Mograpara Chowrasta Z1089 
Madanpur - Langalband Z1061 
Katchpur - Madanpur N105 
Zerabo(Int.with Z3007)-EPZ (Baipile Bazar)
Churkhai Bazar-Intersection with N3
"Tangail,Nagarjalphai (Int.with N404)-Baila (Int.with N404)"
Baila (Int.with N404)-Elenga(Int.with N405)
Katchpur-Tarabo (Int with R201)
Start from int.with N2 - end at Ranabhola (int.with N302)
Int.with Z1101 - Signboard  R111 
Jatrabari - Int.with Z1101  
Karatia Bazar(Int.with N407)-Int.with N4
Karatipara (Int.with N4)-Karatia Bazar(Int.with N407)
Start form N4 near IT park Gate-int.with R315
Korotia(Int.with N408)-Bangra(Int.with Z4012)
Barpa(Int. with Z1090 LGED Road)-Bhulta (Int.with R202)
Bhulta (Int.with R202)-Bhulta (Int.with R203)
Tarabo(Int with R 201)-Barpa(Int. with Z1090 LGED Road)
Baroirdala Z1086- Barabkunda Z1087 
Barabkunda Z1087-Fouzderhat Z1016 
Jatrabari-Jurain (int.with R810)
Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) 
Fazilpur Z1081 - Muhuriganj Z1032 
int with R112 - konapara (int with R201)
Mridhabari (Int.with Z1102) - int with R112
Jatrabari(int with N1 & N8)-Mridhabari (Int.with Z1102)
Mograpara(Int.with Z1089)-Meghna Bridge West End  
Meghna Bridge Satrt-Bhaberchar  z1063 
Daudkandi Bridge- Daudkandi Z1062 
Bhaberchar(Int.with Z1063)-Daudkandi Bridge  
Hamayetpur(Int.with R504)-Nabinagar(Int.with N540) 
Mirpur Bridge-Turag (Int.with Z5069) 
Signboard - Shimrail R110 
Int.with Z1031 - Elahiganj (Feni) Z1030 
Elahiganj (Feni) Z1030- Feni (Int.with N104) 
Shimrail - Katchpur N2 
Mainamati N102- Int.with Z1029 
Chandina Z1022 - Nimsar (Int.with Z1219 & Z1028) 
Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 
